Heuristic,BSP,Painter,H,N,S
First,0.63,0.03,200,399,200
Random,0.20,0.02,60,359,209
FreeSplit,0.20,0.02,57,357,208
First,0.65,0.03,200,399,200
Random,0.21,0.02,59,359,211
FreeSplit,0.20,0.02,57,355,205
First,0.66,0.03,200,399,200
Random,0.19,0.03,56,367,214
FreeSplit,0.20,0.03,54,355,209
First,0.73,0.03,200,399,200
Random,0.21,0.02,58,363,210
FreeSplit,0.22,0.02,62,349,207
First,0.63,0.02,200,399,200
Random,0.21,0.02,62,355,210
FreeSplit,0.22,0.02,60,349,208
First,0.61,0.02,200,399,200
Random,0.21,0.02,62,359,213
FreeSplit,0.19,0.02,58,361,207
First,0.59,0.02,200,399,200
Random,0.18,0.03,52,365,213
FreeSplit,0.22,0.02,56,351,206
First,0.59,0.02,200,399,200
Random,0.21,0.03,61,355,212
FreeSplit,0.21,0.02,55,355,212
First,0.60,0.03,200,399,200
Random,0.20,0.03,58,359,210
FreeSplit,0.20,0.02,57,363,211
First,0.58,0.03,200,399,200
Random,0.18,0.02,55,349,207
FreeSplit,0.21,0.02,61,369,210
First,0.63,0.03,200,399,200
Random,0.21,0.02,59,361,211
FreeSplit,0.23,0.02,63,351,209
First,0.60,0.03,200,399,200
Random,0.23,0.02,57,353,209
FreeSplit,0.22,0.03,62,365,211
First,0.59,0.03,200,399,200
Random,0.20,0.02,55,351,212
FreeSplit,0.23,0.03,65,361,209
First,0.60,0.03,200,399,200
Random,0.20,0.02,62,351,210
FreeSplit,0.20,0.02,54,347,211
First,0.59,0.02,200,399,200
Random,0.19,0.02,55,353,209
FreeSplit,0.23,0.03,64,359,209
First,0.59,0.02,200,399,200
Random,0.20,0.02,58,361,215
FreeSplit,0.20,0.02,62,355,208
First,0.57,0.03,200,399,200
Random,0.19,0.03,60,349,209
FreeSplit,0.22,0.02,58,353,213
First,0.61,0.02,200,399,200
Random,0.18,0.02,55,355,211
FreeSplit,0.19,0.02,57,359,211
First,0.64,0.03,200,399,200
Random,0.26,0.03,68,363,213
FreeSplit,0.20,0.02,56,353,211
First,0.59,0.03,200,399,200
Random,0.21,0.03,65,351,209
FreeSplit,0.22,0.02,60,357,209
First,0.62,0.03,200,399,200
Random,0.19,0.02,57,353,210
FreeSplit,0.26,0.03,58,369,213
First,0.68,0.03,200,399,200
Random,0.19,0.02,55,345,212
FreeSplit,0.20,0.02,56,359,214
First,0.65,0.02,200,399,200
Random,0.21,0.02,57,353,211
FreeSplit,0.20,0.02,59,363,212
First,0.64,0.03,200,399,200
Random,0.19,0.02,55,363,217
FreeSplit,0.20,0.02,54,351,211
First,0.68,0.03,200,399,200
Random,0.19,0.02,53,365,210
FreeSplit,0.20,0.02,55,361,212
First,0.69,0.03,200,399,200
Random,0.20,0.02,53,353,213
FreeSplit,0.22,0.03,61,355,213
First,0.68,0.02,200,399,200
Random,0.20,0.02,58,361,211
FreeSplit,0.19,0.02,55,363,208
First,0.66,0.02,200,399,200
Random,0.19,0.02,59,355,211
FreeSplit,0.21,0.02,61,363,211
First,0.69,0.02,200,399,200
Random,0.21,0.03,63,355,212
FreeSplit,0.22,0.02,60,361,211
First,0.73,0.03,200,399,200
Random,0.25,0.02,64,355,210
FreeSplit,0.20,0.02,58,359,210
First,0.68,0.03,200,399,200
Random,0.22,0.02,59,359,213
FreeSplit,0.20,0.02,56,349,208
First,0.64,0.02,200,399,200
Random,0.19,0.02,59,357,213
FreeSplit,0.19,0.02,57,357,210
First,0.64,0.02,200,399,200
Random,0.18,0.02,58,361,209
FreeSplit,0.22,0.02,64,357,212
First,0.72,0.03,200,399,200
Random,0.26,0.02,59,355,212
FreeSplit,0.24,0.02,55,367,213
First,0.85,0.03,200,399,200
Random,0.23,0.02,55,359,214
FreeSplit,0.32,0.03,60,365,214
First,0.84,0.03,200,399,200
Random,0.25,0.03,60,355,211
FreeSplit,0.27,0.03,61,361,209
First,0.80,0.02,200,399,200
Random,0.26,0.02,63,359,208
FreeSplit,0.26,0.02,58,361,212
First,0.65,0.02,200,399,200
Random,0.19,0.02,60,355,210
FreeSplit,0.20,0.02,54,357,212
First,0.74,0.02,200,399,200
Random,0.21,0.02,51,347,211
FreeSplit,0.27,0.02,63,357,214
First,0.80,0.02,200,399,200
Random,0.22,0.03,55,361,215
FreeSplit,0.26,0.02,60,359,212
First,0.87,0.02,200,399,200
Random,0.24,0.02,57,355,210
FreeSplit,0.26,0.02,59,359,208
First,0.86,0.02,200,399,200
Random,0.23,0.02,58,357,214
FreeSplit,0.24,0.02,58,353,212
First,0.80,0.02,200,399,200
Random,0.24,0.02,55,363,216
FreeSplit,0.22,0.02,52,347,212
First,0.85,0.03,200,399,200
Random,0.25,0.02,59,365,210
FreeSplit,0.26,0.02,58,357,209
First,0.87,0.03,200,399,200
Random,0.25,0.02,55,359,210
FreeSplit,0.28,0.02,62,363,211
First,0.80,0.03,200,399,200
Random,0.21,0.02,51,359,212
FreeSplit,0.25,0.02,53,351,210
First,0.85,0.03,200,399,200
Random,0.24,0.02,60,363,211
FreeSplit,0.25,0.03,61,359,213
First,0.83,0.03,200,399,200
Random,0.25,0.02,59,359,211
FreeSplit,0.28,0.02,56,353,211
First,0.85,0.02,200,399,200
Random,0.21,0.02,52,363,210
FreeSplit,0.23,0.02,55,353,209
First,0.82,0.02,200,399,200
Random,0.22,0.02,54,357,210
FreeSplit,0.22,0.02,54,347,207
First,0.81,0.02,200,399,200
Random,0.23,0.02,56,357,210
FreeSplit,0.36,0.02,73,359,208
First,0.82,0.02,200,399,200
Random,0.23,0.03,61,357,210
FreeSplit,0.27,0.02,64,355,210
First,0.87,0.03,200,399,200
Random,0.25,0.03,58,355,211
FreeSplit,0.23,0.02,57,361,211
First,0.87,0.02,200,399,200
Random,0.23,0.03,59,361,214
FreeSplit,0.24,0.02,55,357,211
First,0.83,0.03,200,399,200
Random,0.25,0.02,62,355,216
FreeSplit,0.25,0.02,59,351,210
First,0.80,0.03,200,399,200
Random,0.22,0.02,58,357,211
FreeSplit,0.26,0.02,56,359,210
First,0.86,0.03,200,399,200
Random,0.26,0.02,58,363,213
FreeSplit,0.26,0.02,62,353,208
First,0.80,0.03,200,399,200
Random,0.24,0.02,58,353,206
FreeSplit,0.22,0.02,56,353,211
First,0.82,0.03,200,399,200
Random,0.23,0.02,54,365,212
FreeSplit,0.27,0.02,61,353,206
First,0.85,0.03,200,399,200
Random,0.26,0.02,55,359,214
FreeSplit,0.24,0.03,55,357,208
First,0.84,0.03,200,399,200
Random,0.31,0.02,64,353,209
FreeSplit,0.24,0.03,58,355,212
First,0.82,0.02,200,399,200
Random,0.27,0.02,57,357,213
FreeSplit,0.20,0.03,53,351,212
First,0.72,0.02,200,399,200
Random,0.20,0.02,61,363,213
FreeSplit,0.25,0.02,65,361,209
First,0.73,0.02,200,399,200
Random,0.17,0.03,55,359,210
FreeSplit,0.19,0.02,57,359,209
First,0.70,0.02,200,399,200
Random,0.19,0.02,59,357,212
FreeSplit,0.21,0.02,62,343,209
First,0.70,0.02,200,399,200
Random,0.18,0.02,55,351,209
FreeSplit,0.22,0.02,62,359,210
First,0.74,0.02,200,399,200
Random,0.18,0.02,57,361,213
FreeSplit,0.24,0.02,66,355,211
First,0.74,0.02,200,399,200
Random,0.16,0.02,55,351,211
FreeSplit,0.19,0.02,55,355,211
First,0.67,0.02,200,399,200
Random,0.27,0.02,59,353,210
FreeSplit,0.17,0.02,52,349,210
First,0.68,0.02,200,399,200
Random,0.20,0.02,64,355,211
FreeSplit,0.20,0.02,58,365,212
First,0.74,0.03,200,399,200
Random,0.22,0.02,62,361,209
FreeSplit,0.20,0.02,53,365,210
First,0.73,0.02,200,399,200
Random,0.18,0.02,54,361,213
FreeSplit,0.21,0.02,58,347,210
First,0.74,0.03,200,399,200
Random,0.19,0.02,60,355,209
FreeSplit,0.19,0.03,54,355,215
First,0.64,0.02,200,399,200
Random,0.17,0.02,53,355,215
FreeSplit,0.19,0.02,56,355,209
First,0.68,0.02,200,399,200
Random,0.20,0.02,61,365,210
FreeSplit,0.19,0.02,55,353,209
First,0.68,0.02,200,399,200
Random,0.22,0.02,62,355,215
FreeSplit,0.21,0.02,58,355,210
First,0.74,0.02,200,399,200
Random,0.17,0.02,54,351,207
FreeSplit,0.22,0.02,58,357,207
First,0.74,0.02,200,399,200
Random,0.19,0.02,54,353,208
FreeSplit,0.20,0.02,55,365,214
First,0.68,0.03,200,399,200
Random,0.18,0.02,58,351,207
FreeSplit,0.19,0.02,57,361,214
First,0.68,0.03,200,399,200
Random,0.17,0.02,56,357,216
FreeSplit,0.19,0.02,60,359,211
First,0.64,0.03,200,399,200
Random,0.18,0.02,67,357,207
FreeSplit,0.17,0.02,56,351,208
First,0.63,0.03,200,399,200
Random,0.19,0.02,64,355,207
FreeSplit,0.18,0.02,61,347,209
First,0.61,0.03,200,399,200
Random,0.17,0.02,55,359,213
FreeSplit,0.19,0.03,65,351,208
First,0.62,0.03,200,399,200
Random,0.19,0.02,65,355,207
FreeSplit,0.17,0.03,54,349,207
First,0.62,0.02,200,399,200
Random,0.17,0.02,59,361,210
FreeSplit,0.20,0.02,62,349,209
First,0.64,0.02,200,399,200
Random,0.17,0.02,58,353,210
FreeSplit,0.18,0.02,59,369,210
First,0.65,0.03,200,399,200
Random,0.16,0.03,56,355,209
FreeSplit,0.18,0.02,58,361,210
First,0.66,0.03,200,399,200
Random,0.18,0.03,57,349,213
FreeSplit,0.18,0.02,58,349,208
First,0.65,0.03,200,399,200
Random,0.19,0.03,64,359,211
FreeSplit,0.20,0.02,56,359,210
First,0.65,0.02,200,399,200
Random,0.17,0.02,54,357,209
FreeSplit,0.20,0.02,59,349,211
First,0.63,0.03,200,399,200
Random,0.18,0.02,62,351,209
FreeSplit,0.18,0.02,58,357,210
First,0.61,0.03,200,399,200
Random,0.16,0.02,55,357,211
FreeSplit,0.20,0.03,68,361,209
First,0.61,0.03,200,399,200
Random,0.17,0.02,63,363,212
FreeSplit,0.17,0.02,56,359,211
First,0.74,0.03,200,399,200
Random,0.17,0.02,59,353,207
FreeSplit,0.18,0.02,61,349,208
First,0.64,0.02,200,399,200
Random,0.19,0.02,58,353,211
FreeSplit,0.18,0.03,57,351,210
First,0.67,0.02,200,399,200
Random,0.19,0.02,65,353,209
FreeSplit,0.19,0.02,63,351,206
First,0.67,0.02,200,399,200
Random,0.19,0.02,57,355,212
FreeSplit,0.20,0.03,58,363,212
First,0.73,0.02,200,399,200
Random,0.19,0.03,60,359,210
FreeSplit,0.20,0.02,59,361,208
First,0.70,0.02,200,399,200
Random,0.18,0.02,60,347,211
FreeSplit,0.19,0.02,58,365,212
First,0.67,0.02,200,399,200
Random,0.18,0.02,56,355,213
FreeSplit,0.20,0.02,55,357,208
First,0.73,0.03,200,399,200
Random,0.19,0.03,58,355,213
FreeSplit,0.19,0.02,54,345,210
First,0.71,0.03,200,399,200
Random,0.17,0.02,54,353,211
FreeSplit,0.16,0.02,50,357,211
First,0.67,0.03,200,399,200
Random,0.17,0.02,58,347,213
FreeSplit,0.21,0.02,66,361,209
First,0.74,0.03,200,399,200
Random,0.19,0.02,59,359,211
FreeSplit,0.19,0.02,55,363,210
First,0.73,0.03,200,399,200
Random,0.19,0.02,61,357,208
FreeSplit,0.20,0.02,59,361,211
First,0.73,0.02,200,399,200
Random,0.15,0.03,53,353,206
FreeSplit,0.19,0.02,59,359,210
First,0.65,0.03,200,399,200
Random,0.17,0.02,56,355,210
FreeSplit,0.19,0.02,59,357,210
First,0.71,0.02,200,399,200
Random,0.17,0.03,58,353,207
FreeSplit,0.19,0.02,61,355,207
First,0.65,0.02,200,399,200
Random,0.18,0.02,57,351,209
FreeSplit,0.20,0.02,60,353,208
First,0.71,0.02,200,399,200
Random,0.17,0.02,55,351,207
FreeSplit,0.19,0.02,61,357,212
First,0.68,0.02,200,399,200
Random,0.19,0.02,60,361,210
FreeSplit,0.18,0.02,57,347,211
First,0.66,0.02,200,399,200
Random,0.18,0.02,62,359,211
FreeSplit,0.20,0.02,63,357,209
First,0.73,0.02,200,399,200
Random,0.19,0.02,59,353,206
FreeSplit,0.18,0.02,53,367,215
First,0.70,0.03,200,399,200
Random,0.19,0.02,57,357,213
FreeSplit,0.20,0.02,60,353,207
First,0.73,0.03,200,399,200
Random,0.18,0.02,59,353,211
FreeSplit,0.18,0.02,59,349,208
First,0.68,0.02,200,399,200
Random,0.17,0.02,56,359,210
FreeSplit,0.18,0.02,60,353,207
First,0.67,0.03,200,399,200
Random,0.21,0.03,64,363,212
FreeSplit,0.24,0.02,66,359,212
First,0.76,0.03,200,399,200
Random,0.20,0.02,64,351,209
FreeSplit,0.18,0.02,53,357,213
First,0.74,0.02,200,399,200
Random,0.17,0.02,54,355,211
FreeSplit,0.20,0.02,62,357,207
First,0.68,0.02,200,399,200
Random,0.18,0.02,58,359,213
FreeSplit,0.22,0.02,62,359,213
First,0.75,0.02,200,399,200
Random,0.20,0.02,61,361,207
FreeSplit,0.21,0.02,62,357,206
First,0.63,0.02,200,399,200
Random,0.16,0.02,52,355,214
FreeSplit,0.19,0.02,60,351,206
First,0.67,0.02,200,399,200
Random,0.17,0.03,55,351,212
FreeSplit,0.18,0.02,55,353,208
First,0.65,0.02,200,399,200
Random,0.17,0.02,57,359,210
FreeSplit,0.19,0.02,58,359,214
First,0.68,0.02,200,399,200
Random,0.18,0.02,55,345,209
FreeSplit,0.21,0.02,65,345,207
First,0.64,0.03,200,399,200
Random,0.19,0.02,62,361,211
FreeSplit,0.21,0.02,67,355,207
First,0.64,0.02,200,399,200
Random,0.15,0.02,50,359,211
FreeSplit,0.17,0.02,53,357,211
First,0.65,0.02,200,399,200
Random,0.21,0.02,55,351,216
FreeSplit,0.18,0.02,54,349,207
First,0.70,0.03,200,399,200
Random,0.19,0.02,56,359,211
FreeSplit,0.20,0.02,57,351,206
First,0.67,0.03,200,399,200
Random,0.18,0.02,61,353,213
FreeSplit,0.18,0.02,53,355,213
First,0.65,0.02,200,399,200
Random,0.19,0.02,62,365,211
FreeSplit,0.18,0.03,57,351,213
First,0.64,0.02,200,399,200
Random,0.20,0.02,64,363,210
FreeSplit,0.21,0.02,60,361,210
First,0.70,0.02,200,399,200
Random,0.18,0.02,57,353,211
FreeSplit,0.19,0.03,58,353,209
First,0.70,0.03,200,399,200
Random,0.22,0.03,69,359,210
FreeSplit,0.18,0.02,53,355,208
First,0.66,0.02,200,399,200
Random,0.19,0.02,59,361,213
FreeSplit,0.20,0.02,61,361,212
First,0.66,0.02,200,399,200
Random,0.17,0.02,54,355,212
FreeSplit,0.19,0.02,60,359,213
First,0.64,0.02,200,399,200
Random,0.18,0.02,61,359,211
FreeSplit,0.21,0.02,65,355,209
First,0.68,0.03,200,399,200
Random,0.22,0.02,71,353,209
FreeSplit,0.19,0.02,59,351,205
First,0.65,0.03,200,399,200
Random,0.16,0.02,51,359,213
FreeSplit,0.18,0.02,58,347,207
First,0.65,0.03,200,399,200
Random,0.19,0.02,59,357,212
FreeSplit,0.18,0.02,56,359,211
First,0.72,0.03,200,399,200
Random,0.18,0.02,58,361,211
FreeSplit,0.18,0.02,55,361,211
First,0.66,0.03,200,399,200
Random,0.17,0.02,54,355,209
FreeSplit,0.17,0.02,51,357,211
First,0.64,0.02,200,399,200
Random,0.18,0.02,59,353,211
FreeSplit,0.19,0.02,58,363,208
First,0.70,0.02,200,399,200
Random,0.17,0.02,55,353,215
FreeSplit,0.20,0.03,59,359,212
First,0.66,0.03,200,399,200
Random,0.17,0.02,58,357,209
FreeSplit,0.20,0.02,63,355,209
First,0.65,0.02,200,399,200
Random,0.17,0.02,56,357,211
FreeSplit,0.18,0.02,54,357,211
First,0.68,0.02,200,399,200
Random,0.17,0.03,58,359,209
FreeSplit,0.18,0.02,59,351,208
First,0.63,0.02,200,399,200
Random,0.19,0.02,61,365,210
FreeSplit,0.23,0.02,69,363,213
First,0.70,0.02,200,399,200
Random,0.18,0.02,58,357,212
FreeSplit,0.20,0.02,58,357,210
First,0.65,0.02,200,399,200
Random,0.18,0.02,61,355,209
FreeSplit,0.19,0.02,58,351,209
First,0.64,0.03,200,399,200
Random,0.17,0.02,55,363,214
FreeSplit,0.21,0.02,62,359,210
First,0.68,0.03,200,399,200
