Heuristic,BSP,Painter,H,N,S
Random,17.66,1.91,39,46821,28233
FreeSplit,18.92,1.85,45,47213,28267
First,35.50,2.16,118,54771,36082
Random,16.95,2.04,45,46989,28451
FreeSplit,20.67,2.02,43,47247,28293
First,35.15,2.54,118,54771,36082
Random,17.57,1.93,42,46975,28396
FreeSplit,21.09,1.83,45,47117,28240
First,36.94,2.59,118,54771,36082
Random,18.72,1.90,44,46885,28267
FreeSplit,20.18,2.30,46,47325,28393
First,36.73,2.66,118,54771,36082
Random,18.56,1.78,43,46973,28314
FreeSplit,21.55,2.20,51,47253,28353
First,36.00,2.40,118,54771,36082
Random,32.72,2.28,43,46903,28281
FreeSplit,19.96,1.97,43,47227,28349
First,36.79,2.59,118,54771,36082
Random,19.25,1.92,41,47003,28360
FreeSplit,19.93,1.79,43,47363,28446
First,35.41,2.51,118,54771,36082
Random,17.34,1.82,44,47007,28384
FreeSplit,20.45,1.92,44,47363,28442
First,36.92,2.42,118,54771,36082
Random,17.14,1.76,43,46913,28342
FreeSplit,21.37,1.87,46,47411,28419
First,34.36,2.43,118,54771,36082
Random,17.80,1.89,41,46939,28327
FreeSplit,20.61,1.91,46,47345,28387
First,36.43,2.43,118,54771,36082
Random,17.72,1.83,42,47011,28373
FreeSplit,20.43,1.89,44,47353,28438
First,34.90,2.36,118,54771,36082
Random,18.15,1.90,44,47103,28452
FreeSplit,20.07,1.93,43,47285,28394
First,34.94,2.48,118,54771,36082
Random,19.39,2.02,45,47097,28414
FreeSplit,20.16,2.05,44,47335,28430
First,36.36,2.49,118,54771,36082
Random,18.12,1.92,40,47009,28342
FreeSplit,19.92,1.94,46,47245,28359
First,35.47,2.64,118,54771,36082
Random,20.69,2.06,43,47117,28497
FreeSplit,19.38,1.89,42,47339,28454
First,37.25,2.55,118,54771,36082
Random,17.45,1.83,40,47029,28448
FreeSplit,19.83,1.92,41,47147,28292
First,36.43,2.44,118,54771,36082
Random,18.19,1.89,44,47023,28424
FreeSplit,20.77,1.86,43,47355,28463
First,36.42,2.42,118,54771,36082
Random,18.42,1.92,42,47003,28427
FreeSplit,19.77,1.90,42,47317,28398
First,35.91,2.51,118,54771,36082
Random,21.88,2.95,38,46945,28340
FreeSplit,20.52,1.79,42,47321,28363
First,36.93,2.41,118,54771,36082
Random,18.09,1.96,41,46971,28315
FreeSplit,18.94,1.86,42,47289,28337
First,35.82,2.68,118,54771,36082
Random,17.42,2.01,45,47219,28531
FreeSplit,22.05,1.87,47,47369,28440
First,36.78,2.43,118,54771,36082
Random,18.41,1.90,46,47079,28501
FreeSplit,24.24,1.94,44,47325,28440
First,53.61,2.63,118,54771,36082
Random,18.66,1.76,48,46897,28322
FreeSplit,20.37,2.30,45,47353,28403
First,54.92,2.58,118,54771,36082
Random,19.43,1.78,43,46999,28326
FreeSplit,18.22,1.73,40,47295,28345
First,34.86,2.32,118,54771,36082
Random,20.06,1.88,39,47055,28442
FreeSplit,20.85,1.83,46,47239,28329
First,56.98,2.57,118,54771,36082
Random,19.50,1.82,42,47121,28558
FreeSplit,20.96,1.85,43,47277,28375
First,37.35,2.38,118,54771,36082
Random,17.92,1.84,42,46867,28296
FreeSplit,19.45,1.85,42,47135,28211
First,35.68,2.34,118,54771,36082
Random,19.45,1.80,46,47051,28420
FreeSplit,20.12,1.78,47,47293,28397
First,35.08,2.34,118,54771,36082
Random,19.94,1.76,46,47095,28440
FreeSplit,18.82,1.91,47,47437,28483
First,34.16,2.33,118,54771,36082
Random,17.50,1.84,45,47195,28542
FreeSplit,20.06,1.84,43,47517,28533
First,33.85,2.58,118,54771,36082
Random,17.14,1.64,39,46963,28358
FreeSplit,19.38,1.90,42,47281,28382
First,35.98,2.42,118,54771,36082
Random,16.59,1.89,40,46995,28341
FreeSplit,20.27,1.90,43,47241,28363
First,36.19,2.42,118,54771,36082
Random,17.84,1.81,41,46939,28352
FreeSplit,19.80,1.76,43,47289,28379
First,35.10,2.31,118,54771,36082
Random,17.15,1.83,40,47087,28479
FreeSplit,20.97,1.81,43,47425,28494
First,35.70,2.33,118,54771,36082
Random,17.09,1.97,41,47177,28490
FreeSplit,19.79,1.91,40,47253,28327
First,36.97,2.37,118,54771,36082
Random,17.46,1.81,43,46975,28336
FreeSplit,20.22,1.82,44,47261,28320
First,69.02,2.50,118,54771,36082
Random,19.57,1.77,43,46949,28373
FreeSplit,20.71,1.86,46,47205,28267
First,36.32,2.45,118,54771,36082
Random,17.75,1.85,42,47041,28387
FreeSplit,19.69,1.93,45,47297,28389
First,36.17,2.42,118,54771,36082
Random,19.23,1.85,46,47039,28460
FreeSplit,22.07,1.87,48,47393,28424
First,35.51,2.41,118,54771,36082
Random,18.80,1.71,44,46905,28336
FreeSplit,20.22,1.81,43,47291,28373
First,35.57,2.51,118,54771,36082
Random,19.93,1.90,43,46999,28369
FreeSplit,26.35,1.87,44,47381,28506
First,38.61,2.37,118,54771,36082
Random,18.41,1.90,41,46835,28235
FreeSplit,19.73,1.92,49,47321,28417
First,37.45,2.35,118,54771,36082
Random,17.64,1.78,45,46839,28275
FreeSplit,20.50,2.65,46,47363,28436
First,36.47,2.77,118,54771,36082
Random,20.11,1.78,47,47081,28469
FreeSplit,21.00,1.82,46,47305,28392
First,36.99,2.41,118,54771,36082
Random,18.15,1.86,43,46933,28343
FreeSplit,19.78,1.79,43,47341,28400
First,35.28,2.43,118,54771,36082
Random,17.67,1.80,42,46975,28382
FreeSplit,22.15,1.83,43,47259,28378
First,51.41,2.45,118,54771,36082
Random,17.73,1.78,43,47213,28543
FreeSplit,18.64,1.95,42,47325,28430
First,34.41,2.41,118,54771,36082
Random,18.07,1.82,41,46989,28357
FreeSplit,21.70,1.84,45,47255,28336
First,35.93,2.42,118,54771,36082
Random,17.83,1.80,46,47053,28509
FreeSplit,18.85,1.80,41,47251,28315
First,37.24,2.34,118,54771,36082
Random,17.56,1.82,40,46787,28213
FreeSplit,20.91,1.82,48,47311,28369
First,36.87,2.40,118,54771,36082
Random,19.75,1.88,44,46989,28374
FreeSplit,20.03,1.87,44,47173,28393
First,36.58,2.34,118,54771,36082
Random,18.12,1.86,45,47133,28498
FreeSplit,20.31,1.91,45,47203,28237
First,36.07,2.41,118,54771,36082
Random,20.69,1.92,43,47181,28526
FreeSplit,18.21,1.81,40,47215,28329
First,35.86,2.39,118,54771,36082
Random,18.90,1.89,44,47017,28457
FreeSplit,19.11,1.84,42,47217,28309
First,36.38,2.39,118,54771,36082
Random,18.53,1.87,43,47075,28466
FreeSplit,20.42,1.83,45,47253,28349
First,51.33,2.37,118,54771,36082
Random,19.54,2.41,42,46925,28346
FreeSplit,19.79,1.83,42,47267,28385
First,35.45,2.41,118,54771,36082
Random,17.63,1.85,40,46973,28285
FreeSplit,21.84,1.85,44,47291,28341
First,37.25,2.58,118,54771,36082
Random,19.61,1.78,46,46957,28295
FreeSplit,19.47,1.73,39,47309,28359
First,35.14,2.39,118,54771,36082
Random,18.67,1.81,45,47007,28401
FreeSplit,19.14,2.01,44,47437,28458
First,35.69,2.19,118,54771,36082
Random,19.16,1.88,42,46959,28378
FreeSplit,19.43,1.92,42,47293,28409
First,35.33,2.39,118,54771,36082
Random,17.48,1.89,38,46961,28441
FreeSplit,20.51,1.86,45,47267,28375
First,35.81,2.42,118,54771,36082
Random,19.50,1.90,42,46865,28333
FreeSplit,21.67,1.88,44,47513,28529
First,35.70,2.44,118,54771,36082
Random,17.84,1.91,40,47039,28455
FreeSplit,18.64,1.83,44,47429,28510
First,37.27,2.17,118,54771,36082
Random,18.18,2.03,41,46923,28323
FreeSplit,22.70,1.83,44,47309,28354
First,35.52,2.42,118,54771,36082
Random,17.89,1.82,41,47007,28373
FreeSplit,20.00,1.85,45,47379,28460
First,37.15,2.44,118,54771,36082
Random,17.47,1.90,45,46983,28433
FreeSplit,20.05,1.81,42,47267,28297
First,36.91,2.40,118,54771,36082
Random,16.83,1.76,42,47053,28364
FreeSplit,18.92,1.83,44,47407,28427
First,34.65,2.25,118,54771,36082
Random,18.30,1.93,41,47075,28438
FreeSplit,19.70,1.86,45,47335,28405
First,52.32,3.54,118,54771,36082
Random,20.47,1.90,43,47061,28485
FreeSplit,20.04,1.83,42,47365,28505
First,35.50,2.70,118,54771,36082
Random,18.13,1.90,41,47069,28423
FreeSplit,21.42,1.80,43,47315,28376
First,36.72,2.41,118,54771,36082
Random,39.66,2.68,41,47049,28481
FreeSplit,28.06,1.65,42,47321,28440
First,36.75,2.61,118,54771,36082
Random,17.87,1.85,40,46881,28325
FreeSplit,20.74,1.86,43,47123,28245
First,37.22,2.40,118,54771,36082
Random,17.77,1.80,40,46895,28336
FreeSplit,20.91,1.91,45,47379,28393
First,36.40,2.36,118,54771,36082
Random,19.68,1.86,44,47041,28452
FreeSplit,20.29,1.95,46,47305,28425
First,36.51,1.98,118,54771,36082
Random,18.85,1.91,43,46967,28369
FreeSplit,19.96,1.83,43,47295,28369
First,36.19,2.41,118,54771,36082
Random,17.79,1.88,41,47025,28401
FreeSplit,19.96,1.83,46,47385,28389
First,36.61,2.41,118,54771,36082
Random,18.68,1.82,42,47165,28471
FreeSplit,19.86,1.89,44,47317,28375
First,38.42,2.51,118,54771,36082
Random,25.55,1.94,41,46971,28315
FreeSplit,26.34,2.82,43,47195,28268
First,50.78,2.50,118,54771,36082
Random,16.58,2.21,41,46981,28343
FreeSplit,19.58,1.82,48,47353,28426
First,35.70,2.34,118,54771,36082
Random,17.58,1.85,42,47089,28439
FreeSplit,20.69,1.84,40,47299,28436
First,34.68,2.38,118,54771,36082
Random,17.41,1.83,41,46925,28290
FreeSplit,19.58,1.76,44,47299,28387
First,35.14,2.37,118,54771,36082
Random,19.15,1.75,41,47145,28518
FreeSplit,20.30,1.93,44,47409,28459
First,54.95,3.43,118,54771,36082
Random,19.42,2.29,42,46995,28333
FreeSplit,19.75,1.90,42,47333,28409
First,41.48,2.93,118,54771,36082
Random,18.24,2.00,46,47227,28538
FreeSplit,21.24,1.92,44,47317,28392
First,36.33,2.42,118,54771,36082
Random,18.28,1.79,42,46857,28307
FreeSplit,20.77,1.86,45,47289,28348
First,35.11,2.41,118,54771,36082
Random,18.06,1.81,43,46805,28231
FreeSplit,22.66,1.93,41,47339,28430
First,40.70,2.41,118,54771,36082
Random,18.39,1.75,42,46941,28343
FreeSplit,19.56,1.95,42,47297,28411
First,37.20,2.39,118,54771,36082
Random,19.74,1.88,46,47137,28461
FreeSplit,20.38,1.86,43,47247,28346
First,42.73,2.71,118,54771,36082
Random,24.40,2.84,44,47007,28313
FreeSplit,22.30,1.85,46,47053,28142
First,43.53,2.47,118,54771,36082
Random,21.66,1.83,46,47053,28367
FreeSplit,19.04,1.92,47,47337,28415
First,34.92,2.36,118,54771,36082
Random,18.42,1.81,46,47047,28325
FreeSplit,20.58,1.89,43,47323,28413
First,35.09,2.35,118,54771,36082
Random,17.02,1.76,40,46945,28354
FreeSplit,18.25,1.93,44,47233,28348
First,36.12,2.42,118,54771,36082
Random,17.96,1.89,43,46981,28357
FreeSplit,19.78,1.87,44,47309,28409
First,38.02,2.12,118,54771,36082
Random,19.31,1.83,48,47191,28497
FreeSplit,20.12,1.94,44,47393,28491
First,35.51,2.43,118,54771,36082
Random,18.38,1.81,42,47151,28441
FreeSplit,20.96,1.83,44,47369,28426
First,35.85,2.31,118,54771,36082
Random,17.66,1.81,45,47149,28480
FreeSplit,20.53,1.81,40,47239,28325
First,37.16,2.41,118,54771,36082
Random,18.68,1.81,45,47093,28478
FreeSplit,20.42,1.76,44,47291,28346
First,37.06,2.35,118,54771,36082
Random,18.65,1.87,40,47111,28457
FreeSplit,21.12,2.07,42,47385,28485
First,35.96,2.44,118,54771,36082
Random,19.11,1.81,45,47081,28439
FreeSplit,22.00,1.92,45,47455,28507
First,36.94,2.45,118,54771,36082
Random,19.20,1.83,45,46975,28375
FreeSplit,20.62,1.81,42,47441,28504
First,36.10,2.38,118,54771,36082
Random,19.73,2.01,48,47055,28404
FreeSplit,20.09,1.79,45,47347,28394
First,36.22,2.43,118,54771,36082
Random,18.91,1.80,41,47095,28471
FreeSplit,19.13,1.84,45,47225,28264
First,36.88,2.38,118,54771,36082
Random,17.74,1.80,41,46933,28285
FreeSplit,20.56,1.90,44,47361,28483
First,36.90,2.40,118,54771,36082
Random,19.41,1.94,42,47045,28369
FreeSplit,18.38,1.96,44,47365,28465
First,36.62,2.39,118,54771,36082
Random,19.14,1.99,42,46977,28345
FreeSplit,20.56,1.83,44,47205,28327
First,37.21,2.44,118,54771,36082
Random,17.84,1.79,46,47047,28406
FreeSplit,19.63,1.77,44,47285,28376
First,35.13,2.43,118,54771,36082
Random,17.86,1.81,43,47109,28456
FreeSplit,21.53,1.89,47,47329,28364
First,37.13,2.40,118,54771,36082
Random,18.02,1.85,41,46965,28325
FreeSplit,20.12,1.76,40,47369,28444
First,39.22,2.64,118,54771,36082
Random,17.70,1.88,41,46917,28215
FreeSplit,20.97,1.88,42,47333,28393
First,36.75,2.14,118,54771,36082
Random,18.49,1.77,41,47243,28496
FreeSplit,20.01,1.89,47,47425,28447
First,35.32,2.46,118,54771,36082
Random,17.30,1.82,42,46969,28350
FreeSplit,20.35,1.87,44,47189,28279
First,35.69,2.43,118,54771,36082
Random,18.40,1.87,43,46901,28312
FreeSplit,20.27,1.83,44,47277,28438
First,37.15,2.40,118,54771,36082
Random,16.69,1.89,39,47029,28378
FreeSplit,20.60,1.92,46,47379,28428
First,35.22,2.41,118,54771,36082
Random,17.67,1.84,39,47033,28474
FreeSplit,21.21,1.80,45,47195,28344
First,35.32,2.33,118,54771,36082
Random,19.27,1.83,44,46997,28293
FreeSplit,20.41,1.99,45,47359,28427
First,36.45,2.41,118,54771,36082
Random,18.24,1.79,41,47099,28400
FreeSplit,20.82,1.89,46,47271,28416
First,36.16,2.42,118,54771,36082
Random,21.01,1.86,46,47077,28467
FreeSplit,20.10,1.82,45,47419,28473
First,34.61,2.65,118,54771,36082
Random,17.11,1.90,42,47155,28543
FreeSplit,21.16,2.20,44,47377,28417
First,35.92,2.39,118,54771,36082
Random,16.64,1.97,41,46945,28385
FreeSplit,20.54,1.91,47,47449,28496
First,36.58,2.45,118,54771,36082
Random,18.49,1.96,41,47097,28487
FreeSplit,20.10,1.89,43,47379,28468
First,36.60,2.39,118,54771,36082
Random,18.07,2.08,44,46925,28375
FreeSplit,19.17,1.91,46,47363,28367
First,36.98,2.40,118,54771,36082
Random,19.04,1.84,44,47051,28390
FreeSplit,18.92,1.92,45,47249,28371
First,36.09,2.35,118,54771,36082
Random,18.00,1.80,41,47031,28402
FreeSplit,19.30,1.84,44,47473,28500
First,36.39,2.28,118,54771,36082
Random,18.98,1.83,46,46969,28342
FreeSplit,21.21,2.07,44,47235,28355
First,36.45,2.60,118,54771,36082
Random,18.26,1.82,45,47129,28465
FreeSplit,18.62,1.91,44,47259,28348
First,37.67,2.34,118,54771,36082
Random,18.54,1.87,43,47055,28478
FreeSplit,21.60,1.94,46,47229,28354
First,36.03,2.44,118,54771,36082
Random,19.30,1.90,44,47073,28444
FreeSplit,20.57,1.79,46,47229,28213
First,37.70,2.28,118,54771,36082
Random,20.26,2.06,40,47069,28481
FreeSplit,21.28,3.33,44,47347,28384
First,46.47,2.56,118,54771,36082
Random,19.03,1.85,45,47205,28518
FreeSplit,20.96,1.87,46,47351,28455
First,36.21,2.34,118,54771,36082
Random,17.87,1.81,45,46989,28331
FreeSplit,20.31,1.85,46,47235,28360
First,35.46,2.40,118,54771,36082
Random,16.91,1.92,44,47017,28325
FreeSplit,19.58,2.14,47,47217,28307
First,37.14,2.14,118,54771,36082
Random,20.61,1.84,45,47129,28491
FreeSplit,18.42,1.85,44,47463,28457
First,37.74,2.44,118,54771,36082
Random,19.12,1.80,43,47035,28348
FreeSplit,20.90,1.98,45,47141,28289
First,34.86,2.34,118,54771,36082
Random,17.83,1.89,49,47015,28423
FreeSplit,20.96,1.85,44,47469,28518
First,34.44,3.26,118,54771,36082
Random,18.24,1.87,42,47069,28462
FreeSplit,22.02,1.78,46,47147,28274
First,35.01,2.29,118,54771,36082
Random,17.22,1.75,41,46971,28348
FreeSplit,20.18,1.78,43,47197,28273
First,35.91,2.20,118,54771,36082
Random,19.28,1.92,44,46857,28316
FreeSplit,19.60,1.86,44,47295,28435
First,34.70,2.37,118,54771,36082
Random,17.00,1.76,42,47097,28413
FreeSplit,19.77,1.84,43,47203,28269
First,36.09,2.42,118,54771,36082
Random,18.56,1.78,44,47211,28535
FreeSplit,19.44,1.87,43,47179,28288
First,36.80,2.42,118,54771,36082
Random,18.64,1.82,41,47081,28479
FreeSplit,19.01,1.74,42,47305,28387
First,36.42,2.34,118,54771,36082
Random,18.59,1.91,43,47029,28467
FreeSplit,18.44,1.78,43,47341,28410
First,36.11,2.49,118,54771,36082
Random,18.59,1.83,42,46927,28288
FreeSplit,26.28,1.81,46,47389,28416
First,37.21,2.50,118,54771,36082
Random,17.95,1.84,44,46895,28313
FreeSplit,18.69,1.75,44,47333,28426
First,36.76,2.40,118,54771,36082
Random,17.85,1.83,46,46943,28324
FreeSplit,20.64,1.86,46,47269,28299
First,36.07,2.43,118,54771,36082
Random,19.00,1.88,45,47185,28512
FreeSplit,20.52,1.74,49,47353,28425
First,34.99,2.34,118,54771,36082
Random,18.40,1.88,40,47129,28474
FreeSplit,19.52,1.77,42,47375,28448
First,35.54,2.31,118,54771,36082
Random,18.21,1.87,43,47081,28534
FreeSplit,19.66,1.91,43,47399,28516
First,35.64,2.49,118,54771,36082
Random,18.77,1.89,43,46945,28361
FreeSplit,20.44,1.86,44,47227,28347
First,36.05,2.35,118,54771,36082
Random,17.15,1.72,43,46925,28349
FreeSplit,20.04,1.88,47,47211,28296
First,35.12,2.65,118,54771,36082
Random,20.58,1.91,47,47107,28458
FreeSplit,19.78,1.75,42,47331,28382
First,36.45,2.43,118,54771,36082
Random,18.06,1.90,40,47019,28387
FreeSplit,21.32,1.79,43,47289,28346
First,36.11,2.40,118,54771,36082
Random,18.23,1.86,40,47061,28356
FreeSplit,19.37,1.97,41,47407,28448
First,38.78,2.45,118,54771,36082
Random,20.21,1.79,42,46887,28293
FreeSplit,19.27,1.93,43,47211,28285
First,36.06,2.49,118,54771,36082
Random,19.22,1.91,42,47095,28445
FreeSplit,21.02,1.81,43,47383,28461
First,35.38,2.52,118,54771,36082
Random,19.92,1.92,44,47089,28450
FreeSplit,21.87,1.91,48,47499,28502
First,37.81,2.43,118,54771,36082
Random,18.89,1.89,45,47051,28431
FreeSplit,20.79,1.79,44,47339,28410
First,37.21,2.45,118,54771,36082
Random,20.08,1.85,43,47049,28362
FreeSplit,21.56,1.92,45,47297,28367
First,38.86,2.46,118,54771,36082
Random,18.28,1.80,42,47119,28470
FreeSplit,20.17,1.88,42,47237,28309
First,35.46,2.94,118,54771,36082
Random,17.26,1.85,43,46969,28320
FreeSplit,19.94,1.92,43,47445,28486
First,37.42,2.58,118,54771,36082
Random,18.35,2.21,43,47203,28542
FreeSplit,21.20,1.91,44,47353,28368
First,36.45,2.47,118,54771,36082
Random,17.76,1.91,42,47009,28374
FreeSplit,19.90,1.99,45,47349,28407
First,49.45,2.33,118,54771,36082
Random,18.25,1.75,45,46925,28345
FreeSplit,20.42,2.22,43,47425,28491
First,35.49,2.66,118,54771,36082
Random,18.17,1.81,43,46979,28436
FreeSplit,21.61,1.87,46,47451,28516
First,36.56,2.31,118,54771,36082
Random,17.52,1.79,45,47121,28452
FreeSplit,20.32,1.88,41,47181,28249
First,37.09,2.42,118,54771,36082
Random,19.15,1.81,41,47155,28457
FreeSplit,20.44,1.81,44,47371,28414
First,35.82,2.12,118,54771,36082
Random,18.94,1.92,42,47179,28485
FreeSplit,20.42,1.76,41,47343,28432
First,36.23,2.42,118,54771,36082
Random,18.15,1.84,41,47065,28431
FreeSplit,19.61,1.80,41,47249,28322
First,36.32,2.44,118,54771,36082
Random,18.42,1.89,42,47031,28371
FreeSplit,21.58,1.87,53,47151,28269
First,35.04,2.45,118,54771,36082
Random,17.40,1.90,40,47013,28403
FreeSplit,19.02,1.88,44,47287,28388
First,46.66,2.07,118,54771,36082
Random,18.99,1.95,43,46991,28301
FreeSplit,20.53,1.88,44,47301,28431
First,37.01,2.36,118,54771,36082
Random,19.33,1.82,40,47201,28503
FreeSplit,19.99,1.83,43,47195,28284
First,36.82,2.43,118,54771,36082
Random,19.74,1.85,42,47027,28405
FreeSplit,21.07,1.82,46,47153,28291
First,36.42,2.44,118,54771,36082
Random,18.88,1.82,41,47181,28517
FreeSplit,19.61,1.86,43,47499,28523
First,52.10,3.95,118,54771,36082
Random,35.57,2.69,41,46827,28208
FreeSplit,27.13,1.80,47,47421,28458
First,37.18,2.61,118,54771,36082
Random,18.72,1.81,43,46881,28334
FreeSplit,21.16,1.80,47,47273,28329
First,35.48,2.45,118,54771,36082
Random,19.33,1.91,43,47009,28380
FreeSplit,20.57,1.89,47,47359,28412
First,35.50,2.41,118,54771,36082
Random,17.77,1.90,41,47071,28439
FreeSplit,18.81,1.74,42,47431,28514
First,34.17,2.41,118,54771,36082
Random,17.88,1.71,41,46957,28316
FreeSplit,18.53,1.76,44,47393,28445
First,35.95,2.40,118,54771,36082
Random,19.45,1.82,42,47095,28422
FreeSplit,22.56,1.92,49,47341,28431
First,34.96,2.50,118,54771,36082
Random,19.21,2.00,42,46959,28347
FreeSplit,20.72,1.83,44,47507,28517
First,38.00,2.53,118,54771,36082
Random,19.45,2.08,40,46861,28269
FreeSplit,21.96,1.87,47,47265,28347
First,37.26,2.42,118,54771,36082
Random,17.96,1.79,43,46827,28280
FreeSplit,20.01,1.89,44,47355,28390
First,36.64,2.64,118,54771,36082
Random,18.95,1.95,42,46857,28301
FreeSplit,20.31,1.99,42,47253,28358
First,35.13,2.49,118,54771,36082
Random,17.83,1.90,40,47063,28409
FreeSplit,20.72,1.89,45,47237,28316
First,35.37,2.43,118,54771,36082
Random,17.64,1.86,43,47025,28363
FreeSplit,20.09,1.84,43,47407,28454
First,36.79,2.52,118,54771,36082
Random,19.85,1.91,44,46909,28334
FreeSplit,21.27,1.81,43,47305,28366
First,36.02,2.48,118,54771,36082
Random,17.79,1.91,40,47047,28448
FreeSplit,20.14,1.64,44,47289,28355
First,37.70,2.67,118,54771,36082
Random,19.88,1.93,42,47213,28527
FreeSplit,21.08,1.93,45,47267,28405
First,35.89,2.63,118,54771,36082
Random,17.52,1.75,41,46933,28321
FreeSplit,19.41,2.02,44,47537,28518
First,36.17,2.66,118,54771,36082
Random,19.41,1.90,43,47111,28498
FreeSplit,19.05,1.84,42,47301,28328
First,35.26,2.57,118,54771,36082
Random,18.80,1.93,40,46915,28346
FreeSplit,19.88,1.89,44,47237,28236
First,35.93,2.39,118,54771,36082
Random,17.89,1.91,40,47131,28510
FreeSplit,19.78,1.96,44,47529,28543
First,35.20,2.46,118,54771,36082
Random,17.25,1.97,43,47191,28545
FreeSplit,18.93,1.99,44,47355,28392
First,37.26,2.50,118,54771,36082
Random,19.55,1.90,42,47117,28522
FreeSplit,19.75,2.18,43,47303,28377
First,36.80,2.41,118,54771,36082
Random,18.87,1.88,43,47023,28438
FreeSplit,19.93,1.88,42,47297,28341
First,36.61,2.50,118,54771,36082
Random,18.86,1.91,44,47109,28494
FreeSplit,20.23,1.89,41,47377,28421
First,35.95,2.44,118,54771,36082
Random,18.89,1.80,47,47159,28537
FreeSplit,20.37,1.98,43,47435,28513
First,35.93,2.55,118,54771,36082
Random,20.91,1.79,41,47069,28406
FreeSplit,18.50,1.78,44,47193,28315
First,36.87,2.41,118,54771,36082
Random,17.70,2.02,41,47159,28487
FreeSplit,18.91,1.85,46,47321,28378
First,36.69,2.97,118,54771,36082
Random,19.55,1.90,41,47031,28413
FreeSplit,20.30,1.80,45,47333,28393
First,36.63,2.45,118,54771,36082
Random,18.09,1.94,43,46979,28345
FreeSplit,18.67,1.84,43,47355,28453
First,37.02,2.50,118,54771,36082
Random,18.76,1.91,43,47051,28494
FreeSplit,20.32,1.92,42,47475,28514
First,36.55,1.82,118,54771,36082
Random,17.35,1.98,41,47041,28397
FreeSplit,23.52,1.86,47,47301,28364
First,36.17,2.43,118,54771,36082
Random,17.31,1.93,47,46863,28302
FreeSplit,19.78,1.84,41,47331,28384
First,36.49,2.64,118,54771,36082
Random,18.98,1.89,40,47241,28607
