Heuristic,BSP,Painter,H,N,S
First,11.86,0.14,46,115,15600
Random,3.96,0.13,17,403,15612
FreeSplit,5.22,0.19,15,295,15613
First,10.29,0.22,46,115,15600
Random,4.84,0.21,15,461,15618
FreeSplit,6.08,0.15,13,383,15612
First,9.23,0.12,46,115,15600
Random,5.07,0.19,18,365,15618
FreeSplit,4.32,0.16,15,443,15620
First,14.08,0.26,46,115,15600
Random,7.72,0.15,16,371,15607
FreeSplit,8.22,0.15,15,309,15613
First,11.38,0.15,46,115,15600
Random,4.69,0.15,14,361,15621
FreeSplit,4.95,0.14,17,373,15618
First,12.52,0.13,46,115,15600
Random,4.71,0.15,17,451,15615
FreeSplit,6.04,0.18,14,373,15610
First,10.77,0.13,46,115,15600
Random,5.38,0.16,16,323,15615
FreeSplit,5.38,0.42,18,295,15612
First,14.89,0.13,46,115,15600
Random,4.15,0.19,13,403,15614
FreeSplit,5.39,0.20,16,341,15609
First,15.78,0.13,46,115,15600
Random,4.11,0.16,14,435,15612
FreeSplit,4.57,0.15,15,375,15626
First,9.62,0.11,46,115,15600
Random,3.61,0.14,15,405,15613
FreeSplit,4.35,0.16,17,403,15616
First,7.11,0.12,46,115,15600
Random,5.30,0.16,18,379,15623
FreeSplit,5.52,0.16,17,429,15611
First,6.76,0.11,46,115,15600
Random,3.85,0.25,14,291,15608
FreeSplit,5.01,0.16,16,421,15624
First,7.16,0.12,46,115,15600
Random,4.38,0.29,15,403,15614
FreeSplit,4.67,0.20,15,433,15620
First,7.01,0.12,46,115,15600
Random,4.38,0.20,14,263,15607
FreeSplit,4.90,0.18,14,441,15615
First,6.89,0.13,46,115,15600
Random,4.58,0.29,15,333,15615
FreeSplit,4.91,0.16,16,345,15613
First,6.94,0.13,46,115,15600
Random,5.13,0.17,15,343,15615
FreeSplit,4.43,0.22,15,317,15626
First,7.39,0.12,46,115,15600
Random,5.08,0.15,14,313,15628
FreeSplit,5.12,0.18,16,253,15611
First,8.36,0.14,46,115,15600
Random,4.21,0.18,15,329,15613
FreeSplit,5.08,0.14,18,321,15611
First,8.34,0.13,46,115,15600
Random,4.03,0.19,16,381,15611
FreeSplit,3.69,0.08,14,281,15610
First,6.88,0.12,46,115,15600
Random,3.45,0.12,14,309,15607
FreeSplit,4.43,0.11,13,231,15607
First,7.55,0.11,46,115,15600
Random,3.08,0.10,16,463,15615
FreeSplit,3.60,0.08,16,423,15616
First,7.05,0.11,46,115,15600
Random,3.71,0.08,18,365,15620
FreeSplit,4.03,0.09,15,455,15613
First,9.05,0.11,46,115,15600
Random,3.74,0.09,20,373,15611
FreeSplit,4.11,0.08,15,351,15613
First,6.95,0.11,46,115,15600
Random,4.06,0.11,17,369,15624
FreeSplit,3.85,0.08,14,341,15612
First,7.83,0.14,46,115,15600
Random,3.53,0.09,15,369,15624
FreeSplit,7.10,0.23,15,367,15616
First,8.48,0.11,46,115,15600
Random,3.30,0.09,13,361,15616
FreeSplit,3.62,0.10,15,361,15610
First,7.44,0.11,46,115,15600
Random,3.45,0.12,14,267,15609
FreeSplit,5.09,0.40,14,303,15615
First,7.07,0.10,46,115,15600
Random,3.56,0.12,18,381,15610
FreeSplit,3.86,0.16,16,283,15607
First,7.07,0.14,46,115,15600
Random,3.74,0.09,15,423,15612
FreeSplit,4.49,0.15,18,227,15612
First,7.29,0.10,46,115,15600
Random,3.39,0.08,14,347,15617
FreeSplit,3.63,0.09,18,433,15613
First,7.45,0.10,46,115,15600
Random,3.55,0.08,15,377,15609
FreeSplit,3.95,0.09,16,439,15610
First,7.13,0.11,46,115,15600
Random,3.95,0.10,18,355,15608
FreeSplit,3.91,0.14,16,499,15618
First,8.50,0.10,46,115,15600
Random,3.49,0.09,17,289,15606
FreeSplit,3.86,0.12,16,351,15608
First,7.01,0.11,46,115,15600
Random,3.09,0.10,15,461,15615
FreeSplit,3.46,0.08,14,365,15621
First,6.94,0.12,46,115,15600
Random,5.41,0.09,19,365,15612
FreeSplit,4.26,0.12,16,367,15610
First,7.68,0.10,46,115,15600
Random,3.38,0.08,18,437,15616
FreeSplit,4.69,0.09,15,299,15611
First,7.95,0.10,46,115,15600
Random,4.08,0.11,14,329,15614
FreeSplit,4.16,0.14,17,445,15615
First,9.11,0.10,46,115,15600
Random,3.69,0.09,15,467,15613
FreeSplit,5.21,0.08,20,361,15615
First,8.70,0.10,46,115,15600
Random,3.91,0.11,17,397,15614
FreeSplit,5.37,0.15,16,319,15623
First,9.37,0.14,46,115,15600
Random,4.29,0.09,16,379,15619
FreeSplit,5.53,0.10,14,339,15611
First,8.08,0.10,46,115,15600
Random,3.92,0.12,15,453,15609
FreeSplit,5.27,0.13,16,375,15613
First,11.15,0.22,46,115,15600
Random,5.42,0.11,19,261,15619
FreeSplit,4.64,0.14,15,377,15627
First,8.67,0.10,46,115,15600
Random,4.04,0.11,15,373,15611
FreeSplit,4.13,0.11,15,329,15606
First,10.55,0.15,46,115,15600
Random,5.01,0.09,17,363,15610
FreeSplit,4.49,0.15,16,393,15620
First,8.72,0.12,46,115,15600
Random,4.84,0.16,15,299,15619
FreeSplit,5.11,0.11,16,319,15616
First,8.46,0.12,46,115,15600
Random,4.89,0.38,13,313,15619
FreeSplit,4.50,0.16,14,281,15607
First,8.17,0.11,46,115,15600
Random,4.82,0.11,14,393,15613
FreeSplit,4.04,0.09,13,313,15614
First,8.54,0.10,46,115,15600
Random,4.38,0.13,14,365,15626
FreeSplit,4.38,0.09,14,303,15608
First,9.28,0.10,46,115,15600
Random,3.87,0.10,14,303,15607
FreeSplit,4.12,0.11,18,361,15616
First,7.31,0.10,46,115,15600
Random,3.55,0.10,15,259,15613
FreeSplit,5.77,0.11,16,295,15615
First,7.38,0.10,46,115,15600
Random,3.18,0.08,16,367,15608
FreeSplit,3.54,0.08,16,347,15607
First,7.00,0.10,46,115,15600
Random,4.00,0.11,16,347,15613
FreeSplit,3.44,0.09,14,399,15609
First,6.93,0.10,46,115,15600
Random,3.75,0.11,14,429,15615
FreeSplit,4.85,0.12,19,287,15614
First,6.82,0.27,46,115,15600
Random,3.56,0.10,13,377,15610
FreeSplit,3.66,0.08,13,395,15613
First,6.85,0.12,46,115,15600
Random,4.26,0.08,17,367,15609
FreeSplit,3.70,0.08,15,289,15608
First,6.88,0.12,46,115,15600
Random,4.99,0.08,15,315,15612
FreeSplit,3.65,0.09,15,297,15626
First,6.81,0.10,46,115,15600
Random,3.86,0.15,14,391,15612
FreeSplit,3.84,0.10,16,373,15609
First,6.71,0.11,46,115,15600
Random,3.96,0.10,18,453,15613
FreeSplit,4.34,0.08,15,415,15610
First,6.63,0.11,46,115,15600
Random,4.03,0.31,14,311,15619
FreeSplit,3.83,0.09,17,381,15612
First,6.71,0.11,46,115,15600
Random,4.02,0.12,16,309,15607
FreeSplit,3.81,0.10,14,341,15610
First,6.92,0.14,46,115,15600
Random,5.11,0.41,16,313,15625
FreeSplit,4.60,0.09,14,307,15619
First,6.96,0.11,46,115,15600
Random,4.41,0.20,14,325,15608
FreeSplit,6.27,0.12,15,295,15605
First,6.40,0.15,46,115,15600
Random,3.91,0.14,15,397,15614
FreeSplit,5.39,0.08,16,285,15616
First,6.86,0.12,46,115,15600
Random,4.94,0.09,14,311,15612
FreeSplit,4.37,0.10,17,327,15609
First,6.79,0.10,46,115,15600
Random,4.35,0.14,15,363,15612
FreeSplit,5.28,0.12,15,325,15611
First,7.91,0.20,46,115,15600
Random,5.63,0.11,15,417,15616
FreeSplit,3.79,0.12,13,405,15610
First,7.41,0.17,46,115,15600
Random,4.68,0.12,15,427,15616
FreeSplit,3.77,0.08,16,303,15614
First,6.95,0.10,46,115,15600
Random,3.83,0.11,14,311,15614
FreeSplit,3.54,0.09,17,385,15613
First,6.79,0.10,46,115,15600
Random,5.55,0.09,17,345,15612
FreeSplit,3.32,0.09,17,473,15614
First,6.70,0.10,46,115,15600
Random,4.50,0.12,16,343,15619
FreeSplit,3.80,0.10,15,397,15616
First,6.77,0.11,46,115,15600
Random,5.03,0.10,15,329,15614
FreeSplit,3.95,0.10,14,293,15612
First,6.79,0.10,46,115,15600
Random,4.05,0.23,17,477,15618
FreeSplit,3.34,0.11,16,377,15611
First,6.72,0.10,46,115,15600
Random,3.79,0.10,13,341,15615
FreeSplit,3.48,0.17,16,417,15613
First,6.88,0.10,46,115,15600
Random,3.17,0.08,15,417,15612
FreeSplit,4.38,0.11,16,333,15607
First,6.79,0.10,46,115,15600
Random,3.81,0.11,15,349,15617
FreeSplit,4.01,0.18,17,475,15616
First,6.54,0.11,46,115,15600
Random,3.95,0.12,16,383,15615
FreeSplit,4.94,0.14,16,403,15614
First,6.58,0.11,46,115,15600
Random,3.91,0.11,17,335,15612
FreeSplit,4.34,0.19,16,317,15613
First,7.09,0.10,46,115,15600
Random,3.74,0.09,13,385,15626
FreeSplit,3.43,0.11,15,425,15614
First,6.91,0.11,46,115,15600
Random,4.12,0.09,14,321,15616
FreeSplit,3.52,0.09,18,413,15609
First,7.66,0.11,46,115,15600
Random,3.33,0.08,15,347,15614
FreeSplit,3.54,0.09,16,373,15609
First,6.94,0.10,46,115,15600
Random,3.25,0.11,14,423,15616
FreeSplit,4.87,0.16,18,349,15613
First,7.46,0.11,46,115,15600
Random,3.17,0.10,13,317,15606
FreeSplit,4.07,0.13,14,305,15611
First,7.03,0.19,46,115,15600
Random,4.19,0.09,16,289,15617
FreeSplit,3.72,0.08,14,381,15618
First,6.83,0.10,46,115,15600
Random,3.60,0.12,16,367,15612
FreeSplit,3.68,0.09,14,375,15610
First,6.75,0.10,46,115,15600
Random,4.41,0.12,14,447,15616
FreeSplit,3.69,0.09,17,385,15609
First,6.69,0.10,46,115,15600
Random,4.14,0.12,17,351,15605
FreeSplit,3.74,0.08,16,395,15613
First,6.48,0.13,46,115,15600
Random,3.92,0.45,16,367,15612
FreeSplit,3.37,0.08,13,447,15613
First,6.64,0.11,46,115,15600
Random,3.29,0.09,14,299,15612
FreeSplit,3.78,0.11,13,323,15615
First,6.28,0.11,46,115,15600
Random,3.86,0.11,18,303,15619
FreeSplit,4.07,0.11,14,377,15613
First,7.12,0.11,46,115,15600
Random,3.22,0.09,15,427,15614
FreeSplit,3.45,0.12,16,391,15615
First,6.81,0.11,46,115,15600
Random,3.01,0.08,16,413,15610
FreeSplit,3.67,0.10,13,371,15630
First,7.01,0.11,46,115,15600
Random,3.66,0.09,16,313,15612
FreeSplit,3.58,0.08,17,373,15610
First,6.97,0.13,46,115,15600
Random,4.37,0.09,14,269,15609
FreeSplit,3.66,0.09,17,469,15616
First,7.03,0.21,46,115,15600
Random,4.20,0.10,15,357,15621
FreeSplit,3.16,0.09,15,409,15615
First,6.73,0.10,46,115,15600
Random,3.32,0.07,13,335,15610
FreeSplit,4.22,0.08,18,397,15612
First,6.82,0.10,46,115,15600
Random,3.42,0.23,13,257,15604
FreeSplit,4.40,0.09,17,417,15611
First,6.32,0.11,46,115,15600
Random,3.63,0.08,17,407,15617
FreeSplit,3.92,0.10,16,395,15612
First,6.91,0.11,46,115,15600
Random,3.79,0.14,16,399,15624
FreeSplit,4.32,0.11,15,361,15615
First,6.86,0.10,46,115,15600
Random,3.29,0.08,15,423,15614
FreeSplit,3.64,0.17,15,421,15613
First,7.12,0.10,46,115,15600
Random,3.59,0.09,15,343,15618
FreeSplit,3.69,0.10,15,391,15614
First,7.18,0.15,46,115,15600
Random,4.80,0.12,15,321,15625
FreeSplit,4.15,0.07,14,297,15615
First,7.41,0.11,46,115,15600
Random,3.46,0.08,15,397,15613
FreeSplit,3.80,0.08,17,325,15610
First,6.85,0.11,46,115,15600
Random,4.03,0.12,15,299,15608
FreeSplit,4.72,0.12,15,337,15614
First,10.03,0.10,46,115,15600
Random,4.61,0.11,19,419,15616
FreeSplit,3.90,0.11,13,341,15613
First,8.45,0.14,46,115,15600
Random,4.17,0.10,18,427,15616
FreeSplit,5.06,0.13,16,353,15628
First,8.71,0.11,46,115,15600
Random,4.15,0.08,16,443,15629
FreeSplit,4.59,0.11,14,333,15607
First,8.62,0.11,46,115,15600
Random,3.66,0.13,17,451,15615
FreeSplit,5.28,0.12,15,401,15625
First,8.33,0.11,46,115,15600
Random,4.42,0.14,14,373,15614
FreeSplit,4.74,0.11,17,373,15610
First,8.87,0.10,46,115,15600
Random,4.59,0.10,15,325,15615
FreeSplit,5.45,0.11,18,309,15607
First,8.34,0.11,46,115,15600
Random,4.49,0.12,14,259,15611
FreeSplit,4.32,0.12,16,329,15613
First,7.62,0.11,46,115,15600
Random,3.50,0.08,16,379,15614
FreeSplit,3.69,0.08,15,353,15611
First,6.92,0.27,46,115,15600
Random,4.05,0.10,16,475,15618
FreeSplit,3.60,0.13,14,277,15611
First,7.13,0.18,46,115,15600
Random,4.60,0.09,14,295,15612
FreeSplit,3.54,0.09,15,455,15614
First,6.76,0.11,46,115,15600
Random,3.93,0.09,15,317,15611
FreeSplit,3.51,0.12,15,419,15615
First,6.81,0.10,46,115,15600
Random,3.53,0.10,17,441,15616
FreeSplit,3.75,0.15,13,347,15619
First,6.57,0.10,46,115,15600
Random,3.14,0.09,14,429,15612
FreeSplit,5.04,0.09,19,299,15606
First,6.96,0.11,46,115,15600
Random,3.34,0.09,16,333,15612
FreeSplit,4.23,0.16,15,423,15610
First,6.31,0.14,46,115,15600
Random,3.64,0.09,16,349,15612
FreeSplit,5.50,0.15,14,381,15614
First,6.82,0.10,46,115,15600
Random,3.75,0.09,18,359,15613
FreeSplit,3.54,0.19,15,341,15614
First,6.79,0.10,46,115,15600
Random,2.95,0.08,13,419,15615
FreeSplit,3.42,0.10,14,397,15618
First,7.34,0.11,46,115,15600
Random,3.62,0.08,14,349,15618
FreeSplit,3.83,0.07,17,369,15609
First,7.46,0.10,46,115,15600
Random,3.40,0.08,14,329,15619
FreeSplit,3.75,0.08,15,407,15610
First,6.89,0.10,46,115,15600
Random,3.11,0.08,15,319,15611
FreeSplit,3.88,0.08,16,377,15617
First,7.03,0.17,46,115,15600
Random,4.64,0.08,16,361,15614
FreeSplit,3.71,0.07,15,303,15613
First,7.00,0.29,46,115,15600
Random,3.52,0.09,14,405,15613
FreeSplit,3.42,0.09,13,309,15611
First,6.66,0.20,46,115,15600
Random,3.52,0.10,16,445,15615
FreeSplit,4.83,0.12,17,309,15618
First,6.89,0.10,46,115,15600
Random,3.85,0.36,17,377,15611
FreeSplit,3.66,0.10,15,439,15613
First,6.72,0.11,46,115,15600
Random,3.39,0.08,14,317,15611
FreeSplit,4.34,0.09,14,339,15612
First,6.88,0.10,46,115,15600
Random,3.94,0.12,13,355,15624
FreeSplit,4.83,0.10,14,337,15610
First,6.54,0.11,46,115,15600
Random,3.19,0.09,15,309,15614
FreeSplit,3.72,0.12,17,387,15616
First,7.04,0.11,46,115,15600
Random,3.35,0.10,14,371,15617
FreeSplit,4.18,0.12,17,325,15617
First,7.18,0.12,46,115,15600
Random,3.91,0.09,17,369,15612
FreeSplit,3.99,0.08,15,365,15626
First,7.49,0.11,46,115,15600
Random,3.32,0.07,15,383,15607
FreeSplit,3.35,0.08,17,473,15617
First,7.00,0.11,46,115,15600
Random,3.76,0.11,18,331,15618
FreeSplit,3.85,0.08,16,407,15610
First,8.36,0.12,46,115,15600
Random,3.61,0.08,15,309,15613
FreeSplit,4.14,0.08,18,325,15608
First,7.04,0.11,46,115,15600
Random,3.04,0.09,14,391,15610
FreeSplit,4.57,0.08,17,265,15609
First,7.22,0.19,46,115,15600
Random,6.58,0.22,13,325,15612
FreeSplit,3.77,0.10,13,411,15617
First,7.48,0.10,46,115,15600
Random,3.52,0.08,13,279,15618
FreeSplit,3.97,0.19,17,435,15627
First,7.37,0.10,46,115,15600
Random,3.26,0.07,15,319,15610
FreeSplit,3.97,0.08,16,371,15610
First,8.29,0.11,46,115,15600
Random,3.62,0.08,14,353,15616
FreeSplit,3.95,0.08,14,341,15628
First,7.27,0.11,46,115,15600
Random,3.38,0.09,16,385,15616
FreeSplit,3.82,0.08,14,299,15621
First,6.61,0.10,46,115,15600
Random,3.72,0.09,16,397,15614
FreeSplit,4.17,0.13,16,359,15610
First,7.05,0.10,46,115,15600
Random,5.08,0.08,14,331,15630
FreeSplit,3.99,0.08,17,317,15611
First,7.22,0.20,46,115,15600
Random,3.99,0.10,16,391,15621
FreeSplit,3.56,0.09,16,393,15616
First,7.18,0.10,46,115,15600
Random,5.06,0.11,15,297,15614
FreeSplit,3.84,0.09,14,301,15605
First,6.70,0.12,46,115,15600
Random,3.87,0.12,15,333,15609
FreeSplit,4.65,0.08,17,269,15608
First,6.86,0.13,46,115,15600
Random,3.42,0.12,15,435,15614
FreeSplit,4.55,0.10,16,273,15607
First,6.67,0.10,46,115,15600
Random,3.54,0.14,14,359,15617
FreeSplit,5.72,0.09,17,371,15618
First,6.81,0.11,46,115,15600
Random,4.05,0.14,16,325,15611
FreeSplit,3.90,0.09,13,335,15609
First,6.69,0.10,46,115,15600
Random,4.42,0.13,14,331,15605
FreeSplit,5.52,0.11,17,321,15610
First,6.67,0.10,46,115,15600
Random,4.21,0.23,16,277,15609
FreeSplit,4.36,0.09,16,281,15619
First,6.69,0.10,46,115,15600
Random,4.19,0.08,19,299,15610
FreeSplit,4.40,0.10,14,335,15626
First,6.92,0.11,46,115,15600
Random,3.48,0.10,16,399,15613
FreeSplit,4.65,0.13,18,435,15629
First,6.26,0.10,46,115,15600
Random,3.85,0.10,15,353,15628
FreeSplit,5.31,0.11,20,305,15615
First,6.33,0.11,46,115,15600
Random,3.35,0.08,16,349,15620
FreeSplit,4.14,0.19,14,395,15620
First,7.36,0.11,46,115,15600
Random,3.88,0.07,17,269,15607
FreeSplit,4.10,0.13,15,353,15611
First,6.92,0.11,46,115,15600
Random,3.83,0.09,17,367,15613
FreeSplit,3.63,0.12,15,447,15616
First,6.94,0.14,46,115,15600
Random,4.11,0.08,15,345,15619
FreeSplit,4.01,0.19,17,389,15620
First,7.63,0.11,46,115,15600
Random,3.43,0.09,15,389,15618
FreeSplit,3.58,0.09,14,405,15614
First,6.97,0.10,46,115,15600
Random,3.37,0.08,18,419,15614
FreeSplit,3.23,0.16,14,463,15612
First,7.51,0.12,46,115,15600
Random,3.59,0.09,16,443,15626
FreeSplit,4.52,0.08,16,265,15622
First,7.53,0.21,46,115,15600
Random,3.32,0.09,15,371,15616
FreeSplit,3.88,0.11,17,315,15607
First,6.83,0.10,46,115,15600
Random,3.78,0.10,16,435,15612
FreeSplit,4.44,0.11,20,389,15611
First,6.82,0.10,46,115,15600
Random,4.36,0.11,15,371,15617
FreeSplit,3.60,0.12,14,367,15614
First,6.71,0.10,46,115,15600
Random,3.27,0.19,16,355,15609
FreeSplit,5.21,0.09,17,385,15616
First,6.55,0.12,46,115,15600
Random,5.43,0.43,14,297,15612
FreeSplit,5.42,0.13,17,451,15611
First,7.05,0.11,46,115,15600
Random,4.94,0.13,15,265,15617
FreeSplit,4.22,0.13,14,347,15612
First,6.53,0.11,46,115,15600
Random,3.92,0.13,14,375,15606
FreeSplit,4.09,0.11,14,301,15606
First,6.67,0.10,46,115,15600
Random,4.42,0.39,15,319,15613
FreeSplit,3.94,0.10,14,377,15632
First,6.69,0.09,46,115,15600
Random,4.37,0.20,16,343,15617
FreeSplit,3.83,0.09,16,369,15619
First,6.71,0.10,46,115,15600
Random,3.80,0.10,15,385,15609
FreeSplit,5.67,0.09,15,295,15621
First,6.72,0.11,46,115,15600
Random,3.42,0.09,15,447,15618
FreeSplit,4.35,0.09,15,345,15616
First,6.72,0.10,46,115,15600
Random,3.18,0.09,15,375,15609
FreeSplit,4.43,0.10,18,313,15623
First,6.93,0.10,46,115,15600
Random,3.92,0.10,14,345,15617
FreeSplit,3.91,0.35,13,393,15621
First,6.62,0.11,46,115,15600
Random,3.34,0.08,14,303,15615
FreeSplit,4.31,0.14,18,335,15613
First,7.17,0.11,46,115,15600
Random,3.61,0.11,15,383,15625
FreeSplit,3.93,0.12,14,355,15612
First,7.80,0.11,46,115,15600
Random,3.19,0.10,16,477,15615
FreeSplit,3.62,0.07,19,407,15612
First,7.36,0.11,46,115,15600
Random,3.04,0.13,14,351,15607
FreeSplit,3.56,0.08,15,355,15615
First,7.18,0.11,46,115,15600
Random,4.15,0.13,17,347,15606
FreeSplit,3.41,0.09,17,417,15611
First,7.49,0.13,46,115,15600
Random,3.35,0.08,12,291,15613
FreeSplit,4.86,0.12,15,365,15613
First,7.43,0.26,46,115,15600
Random,3.92,0.11,15,337,15607
FreeSplit,4.00,0.12,15,353,15616
First,6.95,0.12,46,115,15600
Random,5.44,0.11,14,413,15615
FreeSplit,5.04,0.13,19,253,15621
First,6.97,0.11,46,115,15600
Random,3.55,0.09,17,405,15615
FreeSplit,3.58,0.09,16,489,15616
First,6.56,0.15,46,115,15600
Random,4.34,0.11,17,453,15613
FreeSplit,3.84,0.12,13,355,15618
First,6.46,0.11,46,115,15600
Random,4.10,0.12,15,403,15623
FreeSplit,4.01,0.09,20,329,15610
First,6.28,0.11,46,115,15600
Random,3.86,0.13,16,347,15611
FreeSplit,4.07,0.10,16,385,15625
First,6.33,0.11,46,115,15600
Random,3.50,0.12,16,431,15628
FreeSplit,4.34,0.12,15,331,15613
First,6.28,0.11,46,115,15600
Random,3.10,0.09,15,387,15609
FreeSplit,4.10,0.27,14,425,15612
First,6.84,0.11,46,115,15600
Random,3.45,0.10,16,409,15635
FreeSplit,4.11,0.11,17,305,15617
First,7.05,0.15,46,115,15600
Random,3.70,0.10,16,367,15614
FreeSplit,4.02,0.11,13,333,15613
First,7.76,0.11,46,115,15600
Random,3.63,0.09,18,323,15615
FreeSplit,3.53,0.09,17,401,15611
First,6.82,0.11,46,115,15600
Random,3.29,0.09,16,367,15612
FreeSplit,3.81,0.09,13,303,15619
First,8.11,0.11,46,115,15600
Random,4.24,0.09,17,259,15614
FreeSplit,3.35,0.09,15,349,15614
First,6.92,0.14,46,115,15600
Random,3.57,0.08,14,371,15612
FreeSplit,3.97,0.10,14,325,15626
First,6.76,0.12,46,115,15600
Random,3.83,0.09,15,337,15632
FreeSplit,4.95,0.08,17,303,15615
First,6.82,0.11,46,115,15600
Random,5.35,0.10,16,309,15610
FreeSplit,4.21,0.10,16,403,15614
First,6.73,0.10,46,115,15600
Random,4.68,0.10,16,349,15616
FreeSplit,3.46,0.08,14,359,15609
First,7.07,0.16,46,115,15600
Random,4.70,0.17,15,467,15613
FreeSplit,3.67,0.08,14,359,15619
First,6.73,0.11,46,115,15600
Random,3.71,0.12,16,463,15617
FreeSplit,4.54,0.12,20,269,15606
First,7.14,0.15,46,115,15600
Random,4.14,0.21,15,373,15609
FreeSplit,4.42,0.17,16,275,15615
First,6.79,0.14,46,115,15600
Random,4.67,0.14,16,291,15620
FreeSplit,3.66,0.11,13,353,15629
First,6.67,0.11,46,115,15600
Random,4.10,0.19,15,399,15612
FreeSplit,3.51,0.09,15,437,15609
First,6.73,0.10,46,115,15600
Random,5.44,0.37,16,337,15627
FreeSplit,4.94,0.08,18,335,15609
First,6.74,0.12,46,115,15600
Random,4.54,0.16,14,285,15620
FreeSplit,4.25,0.08,17,351,15611
First,6.69,0.10,46,115,15600
Random,3.97,0.23,13,321,15623
FreeSplit,3.91,0.07,15,335,15608
First,7.16,0.10,46,115,15600
Random,4.07,0.10,15,427,15620
FreeSplit,5.37,0.09,17,355,15622
First,6.64,0.10,46,115,15600
Random,3.10,0.08,18,377,15610
FreeSplit,3.73,0.10,15,437,15613
First,6.37,0.15,46,115,15600
Random,3.62,0.08,16,349,15620
FreeSplit,4.13,0.27,13,443,15613
First,7.39,0.10,46,115,15600
Random,3.60,0.08,18,375,15612
FreeSplit,3.72,0.12,14,345,15612
First,6.82,0.11,46,115,15600
Random,3.30,0.09,15,431,15613
FreeSplit,4.22,0.09,18,293,15611
First,6.84,0.10,46,115,15600
Random,4.01,0.07,12,311,15609
FreeSplit,4.28,0.09,16,227,15609
First,7.68,0.10,46,115,15600
Random,3.88,0.10,15,327,15614
FreeSplit,4.50,0.08,19,319,15610
First,6.92,0.11,46,115,15600
Random,3.67,0.09,15,307,15615
FreeSplit,3.57,0.08,18,387,15615
First,7.91,0.11,46,115,15600
Random,3.62,0.08,16,355,15615
FreeSplit,4.17,0.08,18,405,15617
First,6.98,0.16,46,115,15600
Random,3.38,0.08,16,421,15613
FreeSplit,4.18,0.08,14,291,15620
First,7.11,0.13,46,115,15600
Random,3.96,0.10,12,323,15613
FreeSplit,5.43,0.09,19,357,15613
First,6.72,0.10,46,115,15600
Random,5.41,0.09,15,287,15617
FreeSplit,3.59,0.09,17,325,15613
First,6.77,0.17,46,115,15600
Random,4.77,0.09,14,295,15614
FreeSplit,3.57,0.09,16,361,15609
First,6.99,0.13,46,115,15600
Random,5.23,0.10,18,349,15611
FreeSplit,3.53,0.10,16,413,15609
First,6.82,0.14,46,115,15600
Random,4.16,0.10,15,367,15610
