Heuristic,BSP,Painter,H,N,S
Random,58.82,4.01,48,93917,55816
FreeSplit,50.30,3.87,47,94615,55875
First,104.81,4.96,156,108571,70473
Random,41.14,3.93,48,94089,55950
FreeSplit,51.92,4.08,54,94657,55893
First,97.58,5.14,156,108571,70473
Random,40.04,4.20,46,94165,55947
FreeSplit,45.84,4.10,50,94537,55834
First,98.86,4.92,156,108571,70473
Random,44.62,3.98,48,94205,55981
FreeSplit,44.46,3.88,49,94415,55769
First,97.40,5.28,156,108571,70473
Random,41.29,3.82,47,93977,55832
FreeSplit,46.75,3.89,49,94561,55766
First,104.12,4.86,156,108571,70473
Random,44.87,3.12,46,94213,56048
FreeSplit,44.75,3.61,50,94535,55879
First,97.25,4.66,156,108571,70473
Random,38.29,3.51,49,94047,55874
FreeSplit,47.80,5.54,46,94843,56101
First,98.67,4.76,156,108571,70473
Random,41.34,3.64,48,94203,56109
FreeSplit,50.57,3.76,54,94689,55945
First,99.78,4.45,156,108571,70473
Random,45.29,3.52,47,94049,55880
FreeSplit,47.91,3.76,53,94735,56018
First,112.99,6.61,156,108571,70473
Random,44.30,3.65,49,94033,55844
FreeSplit,52.03,3.70,48,94443,55807
First,108.42,4.75,156,108571,70473
Random,41.20,3.61,50,93993,55833
FreeSplit,45.68,3.53,46,94681,55979
First,97.03,4.63,156,108571,70473
Random,43.61,3.65,46,94389,56199
FreeSplit,47.91,3.73,52,94609,55791
First,104.62,4.71,156,108571,70473
Random,41.79,3.71,50,94121,55924
FreeSplit,47.01,3.73,49,94781,56064
First,108.38,4.90,156,108571,70473
Random,41.73,3.95,47,94163,55983
FreeSplit,52.82,3.84,52,94655,55912
First,98.47,5.20,156,108571,70473
Random,43.33,4.08,50,94525,56218
FreeSplit,52.39,4.00,54,94389,55750
First,101.17,5.42,156,108571,70473
Random,42.02,4.15,49,94077,55948
FreeSplit,72.08,6.48,48,94551,55986
First,121.50,4.73,156,108571,70473
Random,39.12,3.48,48,93991,55888
FreeSplit,44.73,3.57,46,94829,56022
First,97.18,4.82,156,108571,70473
Random,39.98,3.71,48,94261,56122
FreeSplit,49.33,3.66,51,94633,55953
First,100.19,4.32,156,108571,70473
Random,41.82,3.67,47,94099,55945
FreeSplit,47.99,3.61,50,94433,55846
First,99.20,4.66,156,108571,70473
Random,42.38,3.54,49,94225,56033
FreeSplit,48.46,3.88,49,94667,55944
First,98.67,4.70,156,108571,70473
Random,39.06,3.53,46,94111,55906
FreeSplit,47.69,3.54,51,94371,55750
First,154.25,5.46,156,108571,70473
Random,44.38,4.08,46,94079,55910
FreeSplit,46.74,3.88,48,94533,55825
First,99.79,5.21,156,108571,70473
Random,41.17,4.00,47,94105,55892
FreeSplit,46.17,3.98,48,94469,55839
First,102.51,3.82,156,108571,70473
Random,43.07,3.69,51,94107,56011
FreeSplit,44.69,3.62,49,94925,56167
First,97.36,4.64,156,108571,70473
Random,42.98,3.56,49,94013,55890
FreeSplit,45.68,3.65,50,94705,55971
First,100.14,4.76,156,108571,70473
Random,38.49,3.60,46,93975,55778
FreeSplit,45.74,3.59,51,94689,55934
First,97.73,4.57,156,108571,70473
Random,42.10,3.49,49,94301,56045
FreeSplit,48.03,3.50,48,94799,56116
First,97.93,4.85,156,108571,70473
Random,46.51,3.72,50,94131,55925
FreeSplit,44.84,3.62,55,94599,55835
First,98.42,4.76,156,108571,70473
Random,42.21,3.78,47,94041,55835
FreeSplit,45.36,3.78,50,94739,56045
First,97.58,4.60,156,108571,70473
Random,41.40,3.55,47,94083,55849
FreeSplit,45.69,3.58,50,94609,55899
First,97.26,4.77,156,108571,70473
Random,39.85,3.49,49,93973,55841
FreeSplit,43.82,3.20,50,94819,56110
First,101.70,4.63,156,108571,70473
Random,38.56,3.56,45,94125,55908
FreeSplit,43.82,3.68,45,94703,55938
First,102.32,4.68,156,108571,70473
Random,42.21,3.74,48,94117,55978
FreeSplit,48.60,3.51,50,94347,55766
First,106.70,4.42,156,108571,70473
Random,42.74,3.52,51,94097,55956
FreeSplit,44.76,3.60,48,94553,55830
First,98.30,4.66,156,108571,70473
Random,41.96,3.69,46,93915,55854
FreeSplit,48.80,3.88,47,94651,55990
First,99.15,4.81,156,108571,70473
Random,40.77,3.63,46,94309,56036
FreeSplit,46.01,3.65,49,94771,55945
First,98.69,4.66,156,108571,70473
Random,43.99,3.73,49,94057,55871
FreeSplit,44.86,3.61,50,94639,55921
First,99.67,4.72,156,108571,70473
Random,46.92,3.61,50,94003,55848
FreeSplit,43.60,3.53,51,94739,55964
First,99.09,4.56,156,108571,70473
Random,39.32,3.58,48,94091,55888
FreeSplit,52.23,3.73,50,94665,55918
First,98.36,4.78,156,108571,70473
Random,40.49,3.56,46,94269,56100
FreeSplit,42.63,3.51,48,94783,55945
First,102.70,5.05,156,108571,70473
Random,40.86,3.74,46,94069,55931
FreeSplit,44.53,3.88,47,94719,55870
First,104.16,5.37,156,108571,70473
Random,44.74,4.03,50,94139,56050
FreeSplit,48.22,4.21,52,94599,55795
First,104.52,4.70,156,108571,70473
Random,46.03,3.96,47,94177,56082
FreeSplit,44.66,4.12,51,94533,55892
First,100.46,5.05,156,108571,70473
Random,61.04,3.88,50,94055,55883
FreeSplit,48.01,3.86,45,94791,55983
First,105.88,5.53,156,108571,70473
Random,45.45,3.62,48,94237,56050
FreeSplit,50.64,3.93,51,94637,55895
First,104.02,5.61,156,108571,70473
Random,47.31,4.05,48,94089,55959
FreeSplit,48.83,3.74,50,94575,55817
First,107.00,5.53,156,108571,70473
Random,41.20,4.07,51,94089,55942
FreeSplit,50.90,4.05,49,94599,55872
First,103.27,5.00,156,108571,70473
Random,48.18,3.96,54,94087,56010
FreeSplit,48.40,4.00,47,94619,55916
First,98.52,5.26,156,108571,70473
Random,43.55,3.80,49,94103,55942
FreeSplit,46.51,3.73,52,94803,55985
First,100.02,5.14,156,108571,70473
Random,47.30,3.12,50,93933,55784
FreeSplit,47.95,3.86,49,94839,56068
First,98.65,4.71,156,108571,70473
Random,41.05,3.55,47,94143,56012
FreeSplit,44.35,3.67,46,94759,56016
First,98.78,4.75,156,108571,70473
Random,38.67,3.57,46,94275,56100
FreeSplit,43.73,3.92,54,94493,55784
First,105.90,4.75,156,108571,70473
Random,45.99,3.65,47,94309,56072
FreeSplit,49.26,4.21,45,94509,55864
First,100.47,4.74,156,108571,70473
Random,42.52,3.65,51,94235,55990
FreeSplit,47.01,3.57,46,94475,55797
First,100.31,4.91,156,108571,70473
Random,43.85,3.68,49,94123,55896
FreeSplit,52.68,3.43,47,94561,55831
First,107.59,4.90,156,108571,70473
Random,45.36,3.53,50,94107,55895
FreeSplit,47.20,3.56,49,94385,55646
First,100.71,4.86,156,108571,70473
Random,42.36,3.55,46,94079,55978
FreeSplit,43.45,3.60,49,94609,55918
First,103.74,4.29,156,108571,70473
Random,42.22,3.56,46,93973,55809
FreeSplit,46.32,3.93,46,94501,55834
First,105.47,4.98,156,108571,70473
Random,41.31,3.72,47,94247,55985
FreeSplit,47.01,3.58,52,94621,55985
First,100.80,4.87,156,108571,70473
Random,43.13,3.56,49,94101,55909
FreeSplit,48.92,3.70,52,94659,55983
First,102.38,5.30,156,108571,70473
Random,45.32,3.50,51,94105,55892
FreeSplit,45.48,3.91,47,94697,56022
First,99.53,4.82,156,108571,70473
Random,39.32,3.64,46,94377,56066
FreeSplit,49.60,3.63,52,94535,55919
First,100.59,3.90,156,108571,70473
Random,41.74,3.56,45,94033,55881
FreeSplit,56.23,3.60,54,94511,55775
First,102.79,5.57,156,108571,70473
Random,46.07,3.68,46,94295,56079
FreeSplit,48.15,3.77,49,94579,55959
First,101.13,4.73,156,108571,70473
Random,41.96,3.55,46,94271,56102
FreeSplit,44.55,3.65,50,94597,55911
First,100.36,5.11,156,108571,70473
Random,45.14,4.06,48,94115,55990
FreeSplit,49.75,3.56,48,94581,55888
First,126.22,6.36,156,108571,70473
Random,44.72,3.88,46,93883,55775
FreeSplit,60.74,3.66,47,94771,56015
First,102.94,4.76,156,108571,70473
Random,44.02,3.66,45,94043,55905
FreeSplit,46.56,3.55,48,94651,55935
First,99.90,4.75,156,108571,70473
Random,41.48,3.52,47,94125,55865
FreeSplit,45.95,3.78,49,94709,56033
First,98.98,4.75,156,108571,70473
Random,40.31,3.61,46,94121,55981
FreeSplit,43.93,3.65,48,94621,55914
First,98.68,4.78,156,108571,70473
Random,40.67,4.02,46,94135,55891
FreeSplit,43.34,3.68,45,94577,55921
First,99.50,4.89,156,108571,70473
Random,44.56,3.74,48,94145,55873
FreeSplit,47.47,3.73,50,94369,55731
First,101.93,4.48,156,108571,70473
Random,43.18,3.67,46,94137,55957
FreeSplit,46.73,3.81,50,94689,56013
First,102.41,5.17,156,108571,70473
Random,42.44,3.58,47,94135,55981
FreeSplit,43.37,3.67,48,94619,55956
First,102.31,4.06,156,108571,70473
Random,40.20,3.64,50,94307,56176
FreeSplit,44.50,3.62,47,94451,55873
First,98.06,4.64,156,108571,70473
Random,39.70,3.59,47,94051,55927
FreeSplit,45.20,3.64,50,94693,56014
First,143.03,5.48,156,108571,70473
Random,40.45,3.77,49,94143,55877
FreeSplit,52.72,3.84,51,94731,56006
First,98.35,5.34,156,108571,70473
Random,40.42,3.92,44,93831,55651
FreeSplit,58.53,4.09,54,94471,55780
First,105.57,5.55,156,108571,70473
Random,48.54,3.89,47,94071,55963
FreeSplit,44.80,4.12,47,94605,55808
First,100.53,5.21,156,108571,70473
Random,40.84,4.07,46,94059,55928
FreeSplit,44.18,4.76,51,94741,56099
First,106.03,5.52,156,108571,70473
Random,45.33,3.86,52,93931,55883
FreeSplit,54.81,3.96,57,94713,55948
First,100.07,4.57,156,108571,70473
Random,41.80,3.64,46,93977,55853
FreeSplit,56.76,3.69,52,94715,56018
First,100.07,4.72,156,108571,70473
Random,40.41,3.57,47,94117,55907
FreeSplit,47.89,3.71,50,94625,55949
First,104.35,4.76,156,108571,70473
Random,43.92,3.64,47,94249,56051
FreeSplit,47.60,3.51,46,94755,56006
First,98.77,4.77,156,108571,70473
Random,41.83,3.65,49,94147,55919
FreeSplit,45.00,3.61,48,94575,55921
First,102.04,5.23,156,108571,70473
Random,40.47,3.93,46,94169,55949
FreeSplit,45.54,4.11,48,94653,56011
First,100.24,5.37,156,108571,70473
Random,41.96,4.12,51,94331,56101
FreeSplit,45.44,3.98,50,94527,55793
First,98.27,5.22,156,108571,70473
Random,42.11,4.07,48,94091,55938
FreeSplit,48.69,4.02,47,94815,56020
First,99.96,4.94,156,108571,70473
Random,41.61,3.79,50,94077,55875
FreeSplit,44.44,4.11,48,94855,56042
First,98.55,5.42,156,108571,70473
Random,41.44,4.08,47,94083,55855
FreeSplit,45.01,4.12,46,94673,55961
First,104.49,4.42,156,108571,70473
Random,39.20,3.63,45,94213,56070
FreeSplit,47.13,4.70,49,94593,55880
First,98.36,4.72,156,108571,70473
Random,43.51,3.59,48,94195,55978
FreeSplit,43.57,3.48,51,94497,55862
First,98.33,4.69,156,108571,70473
Random,42.69,3.55,48,94155,56033
FreeSplit,52.20,3.60,50,94551,55919
First,98.24,4.82,156,108571,70473
Random,40.27,3.09,48,94181,55969
FreeSplit,43.11,3.71,48,94437,55794
First,99.72,4.64,156,108571,70473
Random,40.79,3.71,50,94075,55880
FreeSplit,43.37,3.68,47,94677,55984
First,98.53,4.73,156,108571,70473
Random,60.81,5.31,46,94167,55941
FreeSplit,51.42,4.22,49,94465,55920
First,99.52,5.38,156,108571,70473
Random,48.03,3.87,50,94191,55938
FreeSplit,46.60,4.13,48,94585,55908
First,98.19,4.00,156,108571,70473
Random,42.62,4.01,46,94105,55837
FreeSplit,45.73,4.13,48,94629,55907
First,102.75,5.34,156,108571,70473
Random,42.07,3.69,49,94015,55876
FreeSplit,45.40,4.13,47,94585,55921
First,101.62,5.35,156,108571,70473
Random,45.27,4.01,45,93747,55620
FreeSplit,49.41,3.77,50,94659,55962
First,100.13,5.28,156,108571,70473
Random,41.36,4.14,51,94125,55901
FreeSplit,48.01,4.19,48,94873,56138
First,100.06,5.49,156,108571,70473
Random,45.03,4.05,51,94141,55904
FreeSplit,43.10,3.92,47,94403,55751
First,99.30,4.59,156,108571,70473
Random,41.16,3.58,49,94145,55975
FreeSplit,45.20,3.60,47,94619,55999
First,101.13,4.71,156,108571,70473
Random,43.42,3.77,47,93925,55774
FreeSplit,45.60,3.63,50,94543,55853
First,101.85,4.80,156,108571,70473
Random,41.50,3.78,44,94065,55929
FreeSplit,51.64,3.71,57,94635,55873
First,100.47,4.69,156,108571,70473
Random,42.32,3.62,47,94147,55899
FreeSplit,43.49,3.62,46,94639,55895
First,101.46,4.82,156,108571,70473
Random,39.23,3.61,44,94221,56070
FreeSplit,45.30,3.66,53,94765,55980
First,98.28,4.64,156,108571,70473
Random,41.77,3.78,51,94347,56189
FreeSplit,44.27,3.59,52,94641,55918
First,102.27,4.82,156,108571,70473
Random,41.56,3.53,45,94123,55970
FreeSplit,49.62,3.72,51,94717,56035
First,99.52,4.74,156,108571,70473
Random,42.49,3.52,47,94009,55888
FreeSplit,51.76,3.57,52,94613,55824
First,98.23,4.75,156,108571,70473
Random,40.90,3.55,47,94213,56076
FreeSplit,43.01,3.57,52,94341,55640
First,99.20,4.82,156,108571,70473
Random,40.60,3.70,54,94271,56076
FreeSplit,42.18,3.40,47,94563,55973
First,98.43,4.69,156,108571,70473
Random,42.08,3.58,47,94057,55916
FreeSplit,51.92,3.78,50,94585,55901
First,100.15,4.75,156,108571,70473
Random,39.90,3.60,47,93973,55891
FreeSplit,47.24,3.69,51,94561,55884
First,98.71,4.66,156,108571,70473
Random,39.69,3.61,48,93963,55887
FreeSplit,46.22,3.58,46,94601,55884
First,97.88,4.81,156,108571,70473
Random,38.91,3.70,50,94013,55937
FreeSplit,43.11,3.56,49,94623,55908
First,98.99,4.58,156,108571,70473
Random,39.17,3.79,47,94221,56019
FreeSplit,47.13,3.47,48,94477,55815
First,101.58,4.69,156,108571,70473
Random,41.90,3.61,49,94061,55865
FreeSplit,44.11,3.68,50,94481,55834
First,101.20,4.54,156,108571,70473
Random,39.89,3.67,46,94185,56000
FreeSplit,51.00,3.56,54,94471,55752
First,102.30,4.88,156,108571,70473
Random,40.55,3.78,45,94169,56091
FreeSplit,48.59,3.62,50,94499,55794
First,99.18,4.63,156,108571,70473
Random,41.48,3.62,47,94307,56077
FreeSplit,43.37,3.57,47,94409,55762
First,102.32,4.86,156,108571,70473
Random,44.65,3.54,49,94259,56016
FreeSplit,45.93,3.99,49,94717,55890
First,101.08,5.14,156,108571,70473
Random,41.20,4.10,47,94027,55820
FreeSplit,47.72,3.99,51,94849,56087
First,100.22,5.50,156,108571,70473
Random,64.52,3.97,50,94115,55990
FreeSplit,47.97,3.63,51,94609,55915
First,104.33,5.44,156,108571,70473
Random,42.73,3.66,47,94187,56060
FreeSplit,43.56,3.52,49,94595,55934
First,98.49,4.73,156,108571,70473
Random,43.18,3.60,48,94123,55946
FreeSplit,45.59,3.52,50,94591,55893
First,98.61,4.71,156,108571,70473
Random,45.55,3.68,50,93975,55878
FreeSplit,47.39,3.79,48,94507,55852
First,100.33,4.71,156,108571,70473
Random,48.07,4.01,49,94057,55893
FreeSplit,46.76,3.59,51,94505,55808
First,100.06,4.25,156,108571,70473
Random,40.58,3.53,48,94081,55858
FreeSplit,46.77,3.62,49,94597,55797
First,103.81,4.87,156,108571,70473
Random,40.05,3.61,48,94017,55864
FreeSplit,44.41,3.66,50,94979,56187
First,100.08,5.13,156,108571,70473
Random,39.71,3.77,45,94413,56190
FreeSplit,45.81,4.02,49,94647,55926
First,99.62,5.39,156,108571,70473
Random,46.21,3.89,50,94221,56059
FreeSplit,48.16,3.96,51,94673,55952
First,101.06,4.88,156,108571,70473
Random,45.94,3.69,52,94159,56018
FreeSplit,54.36,3.91,56,94761,56108
First,99.57,5.45,156,108571,70473
Random,43.10,3.83,48,94055,55872
FreeSplit,44.05,3.88,50,94447,55774
First,102.83,4.57,156,108571,70473
Random,41.72,3.91,48,94053,55857
FreeSplit,45.59,3.69,47,94579,55904
First,100.09,5.39,156,108571,70473
Random,41.26,4.17,47,94259,56079
FreeSplit,46.56,4.24,47,94683,55913
First,99.78,5.32,156,108571,70473
Random,48.15,4.52,52,93873,55719
FreeSplit,54.27,3.57,47,94707,56021
First,100.28,4.86,156,108571,70473
Random,40.45,3.84,49,94009,55911
FreeSplit,46.81,4.26,47,94565,55843
First,115.19,4.93,156,108571,70473
Random,45.13,4.05,51,94083,55950
FreeSplit,44.87,3.97,49,94727,55968
First,99.91,4.42,156,108571,70473
Random,41.70,3.99,47,94043,55856
FreeSplit,46.39,4.13,47,94539,55879
First,101.41,5.18,156,108571,70473
Random,42.95,3.99,47,93989,55953
FreeSplit,44.19,4.22,49,94687,55966
First,98.05,5.36,156,108571,70473
Random,42.77,3.93,46,94395,56164
FreeSplit,46.00,3.95,49,94663,55964
First,98.49,5.20,156,108571,70473
Random,40.36,3.93,46,94051,55924
FreeSplit,46.00,3.67,51,94557,55852
First,105.68,5.23,156,108571,70473
Random,53.65,3.96,54,94165,56037
FreeSplit,46.76,4.05,50,94459,55812
First,100.34,4.87,156,108571,70473
Random,41.44,4.10,47,94029,55842
FreeSplit,46.25,4.17,51,94457,55840
First,100.93,5.21,156,108571,70473
Random,43.56,3.81,47,94127,55951
FreeSplit,49.87,4.03,54,94905,56058
First,100.88,5.47,156,108571,70473
Random,45.53,3.90,51,93993,55868
FreeSplit,46.99,4.15,47,94403,55737
First,99.91,5.23,156,108571,70473
Random,38.77,4.00,47,93865,55806
FreeSplit,49.62,4.35,50,94521,55784
First,98.58,5.33,156,108571,70473
Random,41.39,3.97,44,94207,56041
FreeSplit,47.03,3.96,49,94551,55884
First,101.16,5.05,156,108571,70473
Random,43.62,3.99,49,94133,55944
FreeSplit,43.82,4.13,48,94683,55977
First,99.38,5.06,156,108571,70473
Random,43.30,4.17,49,94237,55940
FreeSplit,48.70,4.07,47,94529,55904
First,101.66,4.26,156,108571,70473
Random,44.13,4.02,46,93771,55672
FreeSplit,48.69,4.07,46,94663,55896
First,98.69,5.34,156,108571,70473
Random,45.34,3.89,47,94159,55962
FreeSplit,48.94,4.08,47,94773,56001
First,101.32,5.24,156,108571,70473
Random,42.77,4.01,45,94017,55838
FreeSplit,50.04,3.85,50,94717,56011
First,101.39,5.28,156,108571,70473
Random,40.50,3.70,49,94101,55869
FreeSplit,47.61,3.95,48,94387,55739
First,99.21,5.22,156,108571,70473
Random,43.35,4.20,47,94201,55976
FreeSplit,45.93,3.95,50,94651,56002
First,100.15,4.77,156,108571,70473
Random,40.44,4.01,48,94225,56088
FreeSplit,44.12,3.78,47,94555,55860
First,99.03,4.87,156,108571,70473
Random,40.66,3.86,47,94153,55962
FreeSplit,50.60,3.98,52,94551,55884
First,99.06,5.39,156,108571,70473
Random,43.32,4.06,47,94117,55936
FreeSplit,46.40,3.68,48,94587,55831
First,100.25,5.30,156,108571,70473
Random,40.49,3.54,45,94197,55929
FreeSplit,44.57,3.73,43,94609,55957
First,99.69,5.46,156,108571,70473
Random,40.19,4.01,47,94017,55876
FreeSplit,48.54,4.06,51,94643,55963
First,100.06,4.47,156,108571,70473
Random,45.46,3.91,52,94231,56011
FreeSplit,47.20,3.89,48,94743,55979
First,98.66,5.33,156,108571,70473
Random,40.97,4.11,48,94179,56140
FreeSplit,48.05,4.06,52,94583,55912
First,101.23,5.42,156,108571,70473
Random,40.87,4.08,45,94115,55871
FreeSplit,49.12,3.89,52,94653,56003
First,98.46,5.34,156,108571,70473
Random,43.71,4.04,53,94169,55951
FreeSplit,50.06,3.86,48,94489,55819
First,100.50,5.39,156,108571,70473
Random,40.44,3.96,46,94125,55959
FreeSplit,47.52,4.17,46,94543,55800
First,101.15,4.14,156,108571,70473
Random,40.03,4.16,46,94055,55896
FreeSplit,47.55,3.71,50,94663,55948
First,98.99,5.24,156,108571,70473
Random,40.14,4.01,46,94193,55995
FreeSplit,56.31,4.12,55,94883,56042
First,100.22,5.41,156,108571,70473
Random,42.12,3.81,49,94219,56064
FreeSplit,44.62,4.15,50,94703,55951
First,156.24,5.90,156,108571,70473
Random,48.23,4.31,49,94269,56003
FreeSplit,55.72,4.37,50,94459,55713
First,109.01,5.36,156,108571,70473
Random,45.47,3.82,50,94279,56040
FreeSplit,47.85,4.05,47,94517,55741
First,100.06,4.36,156,108571,70473
Random,46.52,3.69,49,93855,55759
FreeSplit,47.29,3.98,48,94283,55660
First,100.89,5.11,156,108571,70473
Random,40.61,3.98,49,93973,55837
FreeSplit,48.52,4.20,52,94645,55848
First,99.66,5.42,156,108571,70473
Random,39.24,4.02,44,93959,55855
FreeSplit,42.82,4.07,45,94623,55922
First,102.58,5.18,156,108571,70473
Random,44.03,4.03,50,94193,55925
FreeSplit,54.13,3.92,52,94567,55951
First,99.32,5.38,156,108571,70473
Random,40.39,4.02,45,93951,55849
FreeSplit,46.79,3.87,50,94837,56138
First,98.87,4.27,156,108571,70473
Random,42.06,3.80,47,94079,55993
FreeSplit,51.25,4.15,53,94421,55837
First,100.16,5.35,156,108571,70473
Random,43.71,3.87,49,94107,55923
FreeSplit,48.16,4.16,49,94797,56074
First,98.54,5.03,156,108571,70473
Random,43.00,4.03,51,94055,55907
FreeSplit,47.75,3.63,47,94427,55824
First,97.75,5.31,156,108571,70473
Random,42.12,3.64,47,93937,55807
FreeSplit,47.66,3.63,50,94595,55925
First,98.24,5.46,156,108571,70473
Random,43.20,3.88,50,94287,56104
FreeSplit,48.86,4.05,47,94599,55875
First,100.78,4.79,156,108571,70473
Random,42.70,3.87,52,94071,55975
FreeSplit,46.15,4.18,47,94643,55871
First,99.54,5.44,156,108571,70473
Random,41.08,4.11,48,94071,55824
FreeSplit,45.02,3.68,48,94549,55924
First,99.54,5.54,156,108571,70473
Random,40.71,4.09,46,94135,55939
FreeSplit,53.08,3.64,50,94807,55964
First,101.27,4.83,156,108571,70473
Random,40.82,3.83,48,94045,55916
FreeSplit,45.81,4.11,51,94805,56072
First,97.28,5.23,156,108571,70473
Random,44.21,3.87,52,94151,55975
FreeSplit,43.84,3.99,50,94587,55777
First,99.63,4.88,156,108571,70473
Random,41.48,3.71,47,94009,55826
