Heuristic,BSP,Painter,H,N,S
FreeSplit,6.61,0.25,530,8781,4549
First,157.05,0.28,4500,8999,4500
Random,5.62,0.26,528,8767,4561
FreeSplit,6.32,0.25,516,8771,4554
First,162.83,0.41,4500,8999,4500
Random,5.59,0.26,518,8779,4552
FreeSplit,14.79,0.48,514,8781,4555
First,187.54,0.36,4500,8999,4500
Random,5.71,0.27,515,8793,4563
FreeSplit,6.02,0.27,513,8763,4554
First,159.14,0.32,4500,8999,4500
Random,5.46,0.24,520,8741,4546
FreeSplit,6.59,0.24,518,8765,4552
First,158.31,0.34,4500,8999,4500
Random,5.55,0.26,511,8763,4559
FreeSplit,5.72,0.38,515,8727,4549
First,180.33,0.39,4500,8999,4500
Random,6.13,0.26,508,8767,4560
FreeSplit,6.04,0.28,510,8761,4544
First,158.48,0.34,4500,8999,4500
Random,5.34,0.27,513,8773,4558
FreeSplit,6.48,0.26,522,8755,4555
First,155.82,0.35,4500,8999,4500
Random,5.68,0.26,517,8777,4571
FreeSplit,6.39,0.26,522,8761,4552
First,156.48,0.34,4500,8999,4500
Random,5.50,0.26,508,8731,4555
FreeSplit,6.47,0.26,521,8767,4550
First,155.50,0.53,4500,8999,4500
Random,5.80,0.28,512,8747,4562
FreeSplit,5.89,0.27,515,8779,4557
First,162.75,0.46,4500,8999,4500
Random,5.22,0.27,507,8763,4562
FreeSplit,6.19,0.25,513,8739,4548
First,215.40,0.45,4500,8999,4500
Random,5.72,0.26,516,8759,4571
FreeSplit,5.91,0.27,512,8761,4546
First,166.43,0.34,4500,8999,4500
Random,5.60,0.26,511,8755,4554
FreeSplit,6.24,0.24,521,8777,4567
First,166.08,0.34,4500,8999,4500
Random,7.38,0.26,522,8771,4554
FreeSplit,6.25,0.30,511,8779,4549
First,155.98,0.24,4500,8999,4500
Random,6.03,0.26,521,8751,4557
FreeSplit,6.31,0.27,516,8759,4548
First,156.49,0.27,4500,8999,4500
Random,5.15,0.27,512,8769,4562
FreeSplit,6.05,0.25,513,8753,4554
First,163.89,0.27,4500,8999,4500
Random,5.59,0.26,520,8765,4566
FreeSplit,6.26,0.26,520,8707,4551
First,163.20,0.29,4500,8999,4500
Random,5.33,0.25,515,8771,4557
FreeSplit,6.38,0.26,516,8745,4554
First,161.96,0.35,4500,8999,4500
Random,5.30,0.31,514,8793,4572
FreeSplit,5.81,0.26,515,8779,4564
First,166.82,0.37,4500,8999,4500
Random,5.40,0.25,512,8767,4536
FreeSplit,6.27,0.26,519,8757,4545
First,195.55,0.25,4500,8999,4500
Random,5.35,0.26,510,8785,4553
FreeSplit,6.01,0.26,512,8745,4547
First,159.00,0.51,4500,8999,4500
Random,5.50,0.26,515,8709,4552
FreeSplit,5.87,0.25,516,8737,4545
First,184.47,0.27,4500,8999,4500
Random,5.51,0.25,519,8751,4568
FreeSplit,6.22,0.25,519,8743,4564
First,159.04,0.52,4500,8999,4500
Random,5.59,0.25,525,8777,4558
FreeSplit,5.98,0.23,516,8741,4555
First,170.68,0.28,4500,8999,4500
Random,5.57,0.42,519,8763,4548
FreeSplit,5.74,0.25,517,8755,4546
First,154.37,0.41,4500,8999,4500
Random,5.39,0.26,515,8751,4555
FreeSplit,5.69,0.25,510,8755,4553
First,158.98,0.46,4500,8999,4500
Random,5.66,0.26,511,8759,4555
FreeSplit,5.82,0.23,512,8765,4563
First,159.74,0.33,4500,8999,4500
Random,5.55,0.26,514,8741,4569
FreeSplit,5.83,0.21,512,8747,4561
First,166.84,0.38,4500,8999,4500
Random,5.38,0.24,513,8743,4551
FreeSplit,5.73,0.24,514,8765,4560
First,183.21,0.26,4500,8999,4500
Random,5.56,0.27,527,8765,4553
FreeSplit,10.38,0.27,515,8741,4550
First,162.47,0.51,4500,8999,4500
Random,5.46,0.26,511,8777,4569
FreeSplit,6.04,0.25,513,8789,4559
First,164.99,0.34,4500,8999,4500
Random,5.45,0.25,516,8761,4548
FreeSplit,6.51,0.24,512,8765,4565
First,162.76,0.33,4500,8999,4500
Random,5.43,0.26,516,8753,4548
FreeSplit,6.22,0.27,517,8757,4548
First,158.12,0.35,4500,8999,4500
Random,5.44,0.27,517,8755,4545
FreeSplit,6.37,0.25,522,8761,4560
First,161.53,0.45,4500,8999,4500
Random,5.39,0.25,517,8787,4559
FreeSplit,6.45,0.25,517,8769,4552
First,159.58,0.29,4500,8999,4500
Random,5.91,0.30,521,8769,4560
FreeSplit,6.12,0.25,523,8767,4551
First,181.63,0.34,4500,8999,4500
Random,5.34,0.23,513,8735,4550
FreeSplit,5.63,0.24,514,8749,4561
First,154.86,0.21,4500,8999,4500
Random,5.42,0.24,513,8761,4562
FreeSplit,6.01,0.23,522,8771,4548
First,156.70,0.33,4500,8999,4500
Random,5.36,0.25,511,8769,4552
FreeSplit,6.54,0.26,528,8761,4558
First,155.50,0.34,4500,8999,4500
Random,5.52,0.25,514,8767,4540
FreeSplit,5.84,0.25,510,8713,4562
First,213.96,0.33,4500,8999,4500
Random,5.24,0.28,507,8757,4559
FreeSplit,5.66,0.25,511,8761,4557
First,154.93,0.50,4500,8999,4500
Random,5.22,0.26,507,8777,4565
FreeSplit,5.79,0.24,519,8757,4556
First,155.02,0.46,4500,8999,4500
Random,5.25,0.25,506,8749,4556
FreeSplit,5.71,0.24,517,8751,4564
First,154.65,0.37,4500,8999,4500
Random,5.58,0.27,513,8799,4552
FreeSplit,5.65,0.25,514,8751,4554
First,158.36,0.33,4500,8999,4500
Random,5.58,0.30,521,8763,4553
FreeSplit,6.10,0.22,528,8779,4565
First,155.63,0.47,4500,8999,4500
Random,6.00,0.26,522,8745,4560
FreeSplit,5.76,0.24,513,8763,4548
First,155.13,0.25,4500,8999,4500
Random,5.55,0.25,517,8713,4557
FreeSplit,5.97,0.26,515,8785,4555
First,156.02,0.44,4500,8999,4500
Random,5.68,0.23,518,8747,4548
FreeSplit,5.93,0.22,518,8753,4558
First,155.58,0.45,4500,8999,4500
Random,5.42,0.23,516,8773,4552
FreeSplit,5.83,0.26,511,8727,4571
First,158.73,0.42,4500,8999,4500
Random,6.26,0.31,521,8793,4547
FreeSplit,6.45,0.31,526,8751,4555
First,166.50,0.33,4500,8999,4500
Random,5.74,0.26,510,8759,4562
FreeSplit,6.34,0.22,520,8745,4558
First,161.97,0.34,4500,8999,4500
Random,5.25,0.28,508,8745,4558
FreeSplit,7.04,0.26,526,8765,4536
First,157.21,0.34,4500,8999,4500
Random,5.98,0.25,522,8765,4551
FreeSplit,6.31,0.25,513,8795,4554
First,195.77,0.33,4500,8999,4500
Random,9.81,0.36,508,8761,4561
FreeSplit,10.33,0.33,513,8785,4558
First,167.54,0.34,4500,8999,4500
Random,5.43,0.26,522,8757,4557
FreeSplit,6.70,0.24,522,8751,4548
First,160.50,0.29,4500,8999,4500
Random,5.60,0.28,514,8759,4546
FreeSplit,5.98,0.24,511,8739,4546
First,165.80,0.48,4500,8999,4500
Random,5.53,0.25,521,8725,4539
FreeSplit,6.30,0.25,520,8751,4547
First,214.01,0.48,4500,8999,4500
Random,5.41,0.25,520,8749,4561
FreeSplit,5.73,0.27,511,8787,4566
First,154.48,0.26,4500,8999,4500
Random,5.56,0.25,518,8771,4561
FreeSplit,5.78,0.25,516,8781,4555
First,154.48,0.50,4500,8999,4500
Random,5.70,0.23,518,8753,4550
FreeSplit,5.72,0.27,517,8775,4548
First,211.92,0.49,4500,8999,4500
Random,5.74,0.25,513,8759,4547
FreeSplit,6.06,0.27,509,8741,4551
First,187.65,0.28,4500,8999,4500
Random,5.83,0.26,518,8753,4551
FreeSplit,6.00,0.25,516,8759,4550
First,164.46,0.22,4500,8999,4500
Random,5.59,0.27,508,8765,4548
FreeSplit,6.33,0.27,516,8793,4548
First,166.55,0.39,4500,8999,4500
Random,5.78,0.22,515,8741,4551
FreeSplit,6.05,0.23,513,8759,4550
First,160.26,0.36,4500,8999,4500
Random,5.21,0.25,512,8713,4549
FreeSplit,6.16,0.25,510,8765,4560
First,157.85,0.45,4500,8999,4500
Random,6.07,0.25,522,8749,4552
FreeSplit,6.00,0.25,514,8755,4539
First,217.08,0.29,4500,8999,4500
Random,5.07,0.25,506,8725,4572
FreeSplit,5.89,0.22,514,8777,4556
First,154.60,0.26,4500,8999,4500
Random,6.70,0.41,516,8751,4555
FreeSplit,5.87,0.26,513,8729,4555
First,166.42,0.27,4500,8999,4500
Random,5.77,0.25,517,8735,4554
FreeSplit,6.48,0.26,525,8757,4558
First,161.75,0.28,4500,8999,4500
Random,5.22,0.27,513,8771,4547
FreeSplit,6.18,0.26,515,8787,4563
First,161.02,0.27,4500,8999,4500
Random,5.36,0.27,512,8779,4551
FreeSplit,5.68,0.26,506,8739,4557
First,183.22,0.28,4500,8999,4500
Random,5.20,0.26,513,8783,4562
FreeSplit,5.95,0.26,518,8783,4548
First,156.14,0.30,4500,8999,4500
Random,5.73,0.25,522,8761,4559
FreeSplit,5.96,0.23,519,8747,4563
First,154.87,0.32,4500,8999,4500
Random,5.48,0.25,521,8787,4552
FreeSplit,5.57,0.23,509,8719,4560
First,154.81,0.29,4500,8999,4500
Random,5.32,0.25,510,8759,4550
FreeSplit,5.59,0.27,508,8783,4573
First,211.13,0.30,4500,8999,4500
Random,5.30,0.25,514,8741,4560
FreeSplit,6.37,0.23,521,8775,4545
First,156.15,0.26,4500,8999,4500
Random,5.20,0.24,510,8751,4567
FreeSplit,6.07,0.26,513,8765,4561
First,166.50,0.15,4500,8999,4500
Random,5.32,0.23,521,8753,4551
FreeSplit,6.04,0.24,523,8747,4551
First,157.68,0.57,4500,8999,4500
Random,5.75,0.26,513,8781,4558
FreeSplit,6.29,0.26,516,8759,4557
First,205.41,0.26,4500,8999,4500
Random,5.43,0.26,519,8775,4546
FreeSplit,6.12,0.25,524,8779,4555
First,154.55,0.35,4500,8999,4500
Random,5.43,0.27,517,8781,4553
FreeSplit,10.73,0.39,521,8781,4547
First,177.85,0.33,4500,8999,4500
Random,5.60,0.25,518,8791,4553
FreeSplit,6.21,0.25,519,8737,4554
First,164.94,0.36,4500,8999,4500
Random,5.35,0.25,513,8769,4554
FreeSplit,6.23,0.25,514,8765,4556
First,214.48,0.39,4500,8999,4500
Random,5.57,0.25,514,8753,4561
FreeSplit,5.70,0.23,514,8787,4555
First,154.49,0.33,4500,8999,4500
Random,5.63,0.26,517,8753,4558
FreeSplit,6.30,0.27,516,8733,4544
First,214.49,0.50,4500,8999,4500
Random,5.48,0.27,517,8777,4553
FreeSplit,6.24,0.24,519,8741,4548
First,164.22,0.23,4500,8999,4500
Random,5.36,0.25,519,8777,4545
FreeSplit,5.93,0.23,508,8763,4558
First,155.37,0.44,4500,8999,4500
Random,5.47,0.24,515,8777,4559
FreeSplit,6.13,0.23,513,8751,4561
First,161.74,0.30,4500,8999,4500
Random,5.31,0.26,510,8785,4567
FreeSplit,5.96,0.24,515,8729,4561
First,159.93,0.18,4500,8999,4500
Random,5.74,0.26,506,8757,4559
FreeSplit,6.29,0.27,519,8769,4559
First,166.31,0.34,4500,8999,4500
Random,5.84,0.25,520,8751,4554
FreeSplit,5.86,0.24,505,8747,4551
First,158.85,0.35,4500,8999,4500
Random,5.19,0.22,506,8797,4560
FreeSplit,6.17,0.24,522,8763,4548
First,163.99,0.23,4500,8999,4500
Random,5.83,0.26,512,8779,4563
FreeSplit,6.40,0.26,520,8785,4557
First,161.40,0.49,4500,8999,4500
Random,5.50,0.24,519,8755,4554
FreeSplit,6.09,0.25,506,8735,4558
First,215.85,0.39,4500,8999,4500
Random,5.39,0.26,515,8763,4545
FreeSplit,5.59,0.25,508,8737,4562
First,154.42,0.35,4500,8999,4500
Random,13.68,0.48,527,8721,4556
FreeSplit,6.08,0.26,513,8707,4544
First,161.12,0.35,4500,8999,4500
Random,5.24,0.26,512,8757,4553
FreeSplit,6.20,0.22,517,8745,4548
First,215.28,0.29,4500,8999,4500
Random,5.41,0.25,517,8743,4536
FreeSplit,6.07,0.25,520,8775,4555
First,155.28,0.40,4500,8999,4500
Random,6.42,0.25,517,8739,4548
FreeSplit,5.88,0.25,502,8771,4565
First,158.23,0.34,4500,8999,4500
Random,5.43,0.25,518,8779,4551
FreeSplit,6.17,0.26,517,8777,4545
First,159.24,0.36,4500,8999,4500
Random,5.54,0.25,510,8747,4566
FreeSplit,5.54,0.25,511,8765,4559
First,158.97,0.34,4500,8999,4500
Random,5.82,0.26,517,8757,4558
FreeSplit,5.92,0.27,505,8783,4564
First,156.06,0.35,4500,8999,4500
Random,5.11,0.25,509,8749,4555
FreeSplit,6.14,0.25,514,8753,4562
First,162.12,0.14,4500,8999,4500
Random,5.62,0.26,514,8741,4558
FreeSplit,6.24,0.24,518,8715,4544
First,166.27,0.34,4500,8999,4500
Random,5.66,0.26,523,8747,4540
FreeSplit,6.64,0.26,518,8781,4552
First,170.45,0.31,4500,8999,4500
Random,9.33,0.36,512,8749,4560
FreeSplit,8.55,0.37,509,8771,4563
First,157.05,0.33,4500,8999,4500
Random,5.21,0.25,508,8761,4543
FreeSplit,5.55,0.23,508,8757,4551
First,169.01,0.37,4500,8999,4500
Random,5.99,0.27,511,8763,4560
FreeSplit,6.15,0.26,516,8765,4564
First,157.99,0.35,4500,8999,4500
Random,5.18,0.24,510,8753,4545
FreeSplit,6.19,0.28,512,8767,4559
First,156.97,0.35,4500,8999,4500
Random,6.86,0.25,517,8755,4544
FreeSplit,7.26,0.20,517,8751,4549
First,158.90,0.34,4500,8999,4500
Random,5.43,0.26,513,8739,4550
FreeSplit,6.17,0.25,516,8753,4555
First,156.41,0.47,4500,8999,4500
Random,5.57,0.24,520,8781,4565
FreeSplit,6.17,0.25,521,8763,4552
First,214.49,0.55,4500,8999,4500
Random,5.41,0.25,514,8771,4558
FreeSplit,6.27,0.24,521,8739,4566
First,156.20,0.52,4500,8999,4500
Random,5.53,0.24,514,8755,4547
FreeSplit,6.11,0.24,514,8765,4548
First,155.96,0.35,4500,8999,4500
Random,5.38,0.25,519,8755,4555
FreeSplit,5.99,0.25,506,8759,4549
First,163.76,0.16,4500,8999,4500
Random,5.87,0.27,523,8779,4562
FreeSplit,6.70,0.25,524,8743,4543
First,158.23,0.34,4500,8999,4500
Random,5.33,0.25,514,8759,4561
FreeSplit,6.54,0.26,516,8751,4562
First,165.82,0.23,4500,8999,4500
Random,6.18,0.25,524,8743,4541
FreeSplit,6.67,0.25,528,8765,4552
First,160.87,0.51,4500,8999,4500
Random,5.78,0.23,509,8759,4566
FreeSplit,6.60,0.24,524,8739,4559
First,218.06,0.28,4500,8999,4500
Random,5.43,0.24,513,8761,4549
FreeSplit,6.16,0.26,514,8753,4547
First,160.12,0.35,4500,8999,4500
Random,5.43,0.26,514,8765,4553
FreeSplit,5.94,0.25,516,8779,4552
First,158.02,0.48,4500,8999,4500
Random,5.36,0.24,508,8721,4550
FreeSplit,5.82,0.25,510,8763,4565
First,214.42,0.27,4500,8999,4500
Random,5.91,0.25,518,8789,4550
FreeSplit,6.70,0.26,531,8755,4546
First,166.28,0.51,4500,8999,4500
Random,6.25,0.24,529,8783,4547
FreeSplit,6.29,0.26,520,8765,4563
First,155.35,0.34,4500,8999,4500
Random,5.44,0.25,521,8787,4552
FreeSplit,6.27,0.23,514,8781,4549
First,251.26,0.27,4500,8999,4500
Random,5.33,0.26,512,8767,4557
FreeSplit,6.12,0.25,517,8771,4556
First,169.81,0.19,4500,8999,4500
Random,5.73,0.27,514,8745,4548
FreeSplit,6.54,0.26,521,8765,4547
First,166.79,0.33,4500,8999,4500
Random,5.94,0.27,520,8753,4544
FreeSplit,5.90,0.27,512,8765,4555
First,212.44,0.35,4500,8999,4500
Random,5.91,0.23,519,8747,4565
FreeSplit,6.02,0.23,509,8789,4560
First,217.40,0.32,4500,8999,4500
Random,5.66,0.28,516,8749,4552
FreeSplit,5.96,0.24,514,8787,4568
First,154.91,0.36,4500,8999,4500
Random,5.49,0.25,512,8751,4553
FreeSplit,5.63,0.26,509,8771,4559
First,160.65,0.24,4500,8999,4500
Random,6.50,0.45,516,8763,4552
FreeSplit,6.67,0.26,516,8739,4555
First,164.23,0.22,4500,8999,4500
Random,5.67,0.26,515,8761,4549
FreeSplit,6.33,0.22,521,8759,4568
First,166.41,0.33,4500,8999,4500
Random,5.66,0.23,513,8775,4559
FreeSplit,6.24,0.26,514,8737,4568
First,156.47,0.47,4500,8999,4500
Random,5.68,0.25,516,8735,4556
FreeSplit,6.06,0.25,509,8749,4553
First,158.25,0.43,4500,8999,4500
Random,6.03,0.23,519,8775,4562
FreeSplit,6.35,0.24,520,8749,4563
First,161.58,0.28,4500,8999,4500
Random,5.43,0.25,520,8785,4555
FreeSplit,5.94,0.25,511,8769,4557
First,167.08,0.18,4500,8999,4500
Random,6.02,0.24,516,8765,4544
FreeSplit,6.24,0.24,516,8757,4557
First,158.13,0.34,4500,8999,4500
Random,5.54,0.26,513,8751,4551
FreeSplit,5.74,0.24,515,8753,4550
First,159.12,0.26,4500,8999,4500
Random,5.58,0.24,523,8753,4547
FreeSplit,6.33,0.24,519,8791,4553
First,155.14,0.44,4500,8999,4500
Random,5.48,0.25,516,8757,4554
FreeSplit,6.36,0.25,515,8775,4551
First,155.22,0.30,4500,8999,4500
Random,5.95,0.26,516,8779,4557
FreeSplit,6.51,0.25,522,8779,4544
First,163.11,0.51,4500,8999,4500
Random,5.09,0.26,511,8753,4557
FreeSplit,6.44,0.24,522,8791,4563
First,164.08,0.24,4500,8999,4500
Random,5.82,0.26,522,8763,4565
FreeSplit,6.18,0.26,514,8771,4556
First,166.23,0.51,4500,8999,4500
Random,5.77,0.24,517,8763,4549
FreeSplit,6.68,0.25,523,8775,4551
First,159.46,0.23,4500,8999,4500
Random,5.71,0.24,513,8731,4548
FreeSplit,6.02,0.25,512,8761,4561
First,158.89,0.51,4500,8999,4500
Random,5.59,0.24,522,8783,4547
FreeSplit,6.13,0.24,512,8751,4564
First,163.62,0.21,4500,8999,4500
Random,5.39,0.28,524,8763,4557
FreeSplit,6.10,0.32,513,8759,4554
First,162.71,0.34,4500,8999,4500
Random,5.44,0.26,514,8771,4551
FreeSplit,6.15,0.24,513,8767,4551
First,156.11,0.18,4500,8999,4500
Random,5.76,0.31,511,8725,4560
FreeSplit,6.33,0.28,517,8767,4557
First,154.55,0.33,4500,8999,4500
Random,5.45,0.25,516,8787,4546
FreeSplit,6.20,0.24,515,8759,4549
First,154.98,0.49,4500,8999,4500
Random,11.23,0.54,509,8703,4564
FreeSplit,6.31,0.24,516,8763,4555
First,159.03,0.34,4500,8999,4500
Random,5.58,0.26,515,8739,4553
